(-10, 50, -161), [4, 1, 0], 3.7.ak_by_agf 
(-9, 38, -112), [5, 3, 0], 3.7.aj_bm_aei 
(-9, 44, -140), [5, 2, 0], 3.7.aj_bs_afk 
(-8, 32, -91), [6, 4, 0], 3.7.ai_bg_adn 
(-8, 38, -119), [6, 3, 0], 3.7.ai_bm_aep 
(-7, 29, -84), [0, 1, 0], 3.7.ah_bd_adg 
(-7, 30, -91), [0, 2, 0], 3.7.ah_be_adn 
(-6, 13, -21), [1, 6, 0], 3.7.ag_n_av 
(-6, 16, -35), [1, 2, 0], 3.7.ag_q_abj 
(-6, 17, -42), [1, 3, 0], 3.7.ag_r_abq 
(-6, 20, -49), [1, 6, 0], 3.7.ag_u_abx 
(-6, 22, -63), [1, 1, 0], 3.7.ag_w_acl 
(-6, 24, -77), [1, 3, 0], 3.7.ag_y_acz 
(-6, 25, -77), [1, 4, 0], 3.7.ag_z_acz 
(-6, 26, -77), [1, 5, 0], 3.7.ag_ba_acz 
(-5, -3, 49), [2, 4, 0], 3.7.af_ad_bx 
(-5, 1, 28), [2, 1, 0], 3.7.af_b_bc 
(-5, 3, 21), [2, 3, 0], 3.7.af_d_v 
(-5, 6, 7), [2, 6, 0], 3.7.af_g_h 
(-5, 8, -7), [2, 1, 0], 3.7.af_i_ah 
(-5, 12, -21), [2, 5, 0], 3.7.af_m_av 
(-5, 16, -49), [2, 2, 0], 3.7.af_q_abx 
(-5, 16, -35), [2, 2, 0], 3.7.af_q_abj 
(-5, 18, -49), [2, 4, 0], 3.7.af_s_abx 
(-5, 20, -63), [2, 6, 0], 3.7.af_u_acl 
(-5, 24, -63), [2, 3, 0], 3.7.af_y_acl 
(-4, -4, 42), [3, 3, 0], 3.7.ae_ae_bq 
(-4, -3, 35), [3, 4, 0], 3.7.ae_ad_bj 
(-4, -2, 35), [3, 5, 0], 3.7.ae_ac_bj 
(-4, 4, 7), [3, 4, 0], 3.7.ae_e_h 
(-4, 5, -7), [3, 5, 0], 3.7.ae_f_ah 
(-4, 5, 7), [3, 5, 0], 3.7.ae_f_h 
(-4, 6, -7), [3, 6, 0], 3.7.ae_g_ah 
(-4, 8, -21), [3, 1, 0], 3.7.ae_i_av 
(-4, 8, -7), [3, 1, 0], 3.7.ae_i_ah 
(-4, 10, -21), [3, 3, 0], 3.7.ae_k_av 
(-4, 12, -35), [3, 5, 0], 3.7.ae_m_abj 
(-4, 12, -21), [3, 5, 0], 3.7.ae_m_av 
(-4, 13, -49), [3, 6, 0], 3.7.ae_n_abx 
(-4, 16, -49), [3, 2, 0], 3.7.ae_q_abx 
(-4, 16, -35), [3, 2, 0], 3.7.ae_q_abj 
(-4, 18, -49), [3, 4, 0], 3.7.ae_s_abx 
(-4, 20, -49), [3, 6, 0], 3.7.ae_u_abx 
(-3, -6, 42), [4, 1, 0], 3.7.ad_ag_bq 
(-3, -4, 35), [4, 3, 0], 3.7.ad_ae_bj 
(-3, -3, 21), [4, 4, 0], 3.7.ad_ad_v 
(-3, -2, 21), [4, 5, 0], 3.7.ad_ac_v 
(-3, -2, 28), [4, 5, 0], 3.7.ad_ac_bc 
(-3, 2, 7), [4, 2, 0], 3.7.ad_c_h 
(-3, 4, 7), [4, 4, 0], 3.7.ad_e_h 
(-3, 6, -21), [4, 6, 0], 3.7.ad_g_av 
(-3, 6, -7), [4, 6, 0], 3.7.ad_g_ah 
(-3, 8, -35), [4, 1, 0], 3.7.ad_i_abj 
(-3, 8, -21), [4, 1, 0], 3.7.ad_i_av 
(-3, 8, -7), [4, 1, 0], 3.7.ad_i_ah 
(-3, 10, -35), [4, 3, 0], 3.7.ad_k_abj 
(-3, 12, -35), [4, 5, 0], 3.7.ad_m_abj 
(-3, 12, -21), [4, 5, 0], 3.7.ad_m_av 
(-3, 18, -35), [4, 4, 0], 3.7.ad_s_abj 
(-3, 19, -35), [4, 5, 0], 3.7.ad_t_abj 
(-2, -5, 35), [5, 2, 0], 3.7.ac_af_bj 
(-2, -4, 21), [5, 3, 0], 3.7.ac_ae_v 
(-2, -4, 35), [5, 3, 0], 3.7.ac_ae_bj 
(-2, -3, 7), [5, 4, 0], 3.7.ac_ad_h 
(-2, -3, 21), [5, 4, 0], 3.7.ac_ad_v 
(-2, -2, 7), [5, 5, 0], 3.7.ac_ac_h 
(-2, -2, 21), [5, 5, 0], 3.7.ac_ac_v 
(-2, 2, -7), [5, 2, 0], 3.7.ac_c_ah 
(-2, 2, 7), [5, 2, 0], 3.7.ac_c_h 
(-2, 3, -21), [5, 3, 0], 3.7.ac_d_av 
(-2, 4, -21), [5, 4, 0], 3.7.ac_e_av 
(-2, 4, -7), [5, 4, 0], 3.7.ac_e_ah 
(-2, 4, 7), [5, 4, 0], 3.7.ac_e_h 
(-2, 6, -35), [5, 6, 0], 3.7.ac_g_abj 
(-2, 6, -21), [5, 6, 0], 3.7.ac_g_av 
(-2, 6, -7), [5, 6, 0], 3.7.ac_g_ah 
(-2, 6, 7), [5, 6, 0], 3.7.ac_g_h 
(-2, 8, -35), [5, 1, 0], 3.7.ac_i_abj 
(-2, 8, -21), [5, 1, 0], 3.7.ac_i_av 
(-2, 8, -7), [5, 1, 0], 3.7.ac_i_ah 
(-2, 10, -35), [5, 3, 0], 3.7.ac_k_abj 
(-2, 10, -21), [5, 3, 0], 3.7.ac_k_av 
(-2, 10, -7), [5, 3, 0], 3.7.ac_k_ah 
(-2, 12, -21), [5, 5, 0], 3.7.ac_m_av 
(-2, 16, -21), [5, 2, 0], 3.7.ac_q_av 
(-1, -4, 7), [6, 3, 0], 3.7.ab_ae_h 
(-1, -4, 21), [6, 3, 0], 3.7.ab_ae_v 
(-1, -4, 28), [6, 3, 0], 3.7.ab_ae_bc 
(-1, -3, 35), [6, 4, 0], 3.7.ab_ad_bj 
(-1, -2, -7), [6, 5, 0], 3.7.ab_ac_ah 
(-1, -2, 7), [6, 5, 0], 3.7.ab_ac_h 
(-1, -2, 35), [6, 5, 0], 3.7.ab_ac_bj 
(-1, -1, 28), [6, 6, 0], 3.7.ab_ab_bc 
(-1, 1, -28), [6, 1, 0], 3.7.ab_b_abc 
(-1, 2, -21), [6, 2, 0], 3.7.ab_c_av 
(-1, 2, -7), [6, 2, 0], 3.7.ab_c_ah 
(-1, 2, 7), [6, 2, 0], 3.7.ab_c_h 
(-1, 2, 21), [6, 2, 0], 3.7.ab_c_v 
(-1, 3, -35), [6, 3, 0], 3.7.ab_d_abj 
(-1, 4, -35), [6, 4, 0], 3.7.ab_e_abj 
(-1, 4, -21), [6, 4, 0], 3.7.ab_e_av 
(-1, 4, -7), [6, 4, 0], 3.7.ab_e_ah 
(-1, 4, 7), [6, 4, 0], 3.7.ab_e_h 
(-1, 6, -21), [6, 6, 0], 3.7.ab_g_av 
(-1, 6, -7), [6, 6, 0], 3.7.ab_g_ah 
(-1, 6, 7), [6, 6, 0], 3.7.ab_g_h 
(-1, 8, -21), [6, 1, 0], 3.7.ab_i_av 
(-1, 8, -7), [6, 1, 0], 3.7.ab_i_ah 
(-1, 10, -21), [6, 3, 0], 3.7.ab_k_av 
(-1, 10, -7), [6, 3, 0], 3.7.ab_k_ah 
(-1, 12, -7), [6, 5, 0], 3.7.ab_m_ah 
(0, -5, -7), [0, 2, 0], 3.7.a_af_ah 
(0, -5, 7), [0, 2, 0], 3.7.a_af_h 
(0, -4, -7), [0, 3, 0], 3.7.a_ae_ah 
(0, -4, 7), [0, 3, 0], 3.7.a_ae_h 
(0, -2, -21), [0, 5, 0], 3.7.a_ac_av 
(0, -2, -7), [0, 5, 0], 3.7.a_ac_ah 
(0, -2, 7), [0, 5, 0], 3.7.a_ac_h 
(0, -2, 21), [0, 5, 0], 3.7.a_ac_v 
(0, 2, -21), [0, 2, 0], 3.7.a_c_av 
(0, 2, -7), [0, 2, 0], 3.7.a_c_ah 
(0, 2, 7), [0, 2, 0], 3.7.a_c_h 
(0, 2, 21), [0, 2, 0], 3.7.a_c_v 
(0, 4, -21), [0, 4, 0], 3.7.a_e_av 
