(-9, 39, -120), [7, 7, 0], 3.8.aj_bn_aeq 
(-9, 45, -152), [7, 5, 0], 3.8.aj_bt_afw 
(-9, 47, -160), [7, 7, 0], 3.8.aj_bv_age 
(-8, 29, -80), [0, 5, 0], 3.8.ai_bd_adc 
(-8, 37, -120), [0, 5, 0], 3.8.ai_bl_aeq 
(-8, 39, -132), [0, 7, 4], 3.8.ai_bn_afc 
(-7, 17, -28), [1, 1, 4], 3.8.ah_r_abc 
(-7, 19, -40), [1, 3, 0], 3.8.ah_t_abo 
(-7, 21, -48), [1, 5, 0], 3.8.ah_v_abw 
(-7, 25, -72), [1, 1, 0], 3.8.ah_z_acu 
(-7, 27, -84), [1, 3, 4], 3.8.ah_bb_adg 
(-7, 27, -80), [1, 3, 0], 3.8.ah_bb_adc 
(-7, 29, -96), [1, 5, 0], 3.8.ah_bd_ads 
(-7, 29, -92), [1, 5, 4], 3.8.ah_bd_ado 
(-7, 29, -88), [1, 5, 0], 3.8.ah_bd_adk 
(-7, 31, -108), [1, 7, 4], 3.8.ah_bf_aee 
(-7, 31, -104), [1, 7, 0], 3.8.ah_bf_aea 
(-7, 31, -100), [1, 7, 4], 3.8.ah_bf_adw 
(-7, 31, -96), [1, 7, 0], 3.8.ah_bf_ads 
(-7, 33, -108), [1, 1, 4], 3.8.ah_bh_aee 
(-7, 33, -104), [1, 1, 0], 3.8.ah_bh_aea 
(-7, 35, -116), [1, 3, 4], 3.8.ah_bj_aem 
(-6, 7, 12), [2, 7, 4], 3.8.ag_h_m 
(-6, 9, 0), [2, 1, 0], 3.8.ag_j_a 
(-6, 15, -32), [2, 7, 0], 3.8.ag_p_abg 
(-6, 19, -56), [2, 3, 0], 3.8.ag_t_ace 
(-6, 27, -80), [2, 3, 0], 3.8.ag_bb_adc 
(-5, -5, 64), [3, 3, 0], 3.8.af_af_cm 
(-5, -3, 52), [3, 5, 4], 3.8.af_ad_ca 
(-5, -1, 44), [3, 7, 4], 3.8.af_ab_bs 
(-5, 1, 32), [3, 1, 0], 3.8.af_b_bg 
(-5, 3, 24), [3, 3, 0], 3.8.af_d_y 
(-5, 5, 8), [3, 5, 0], 3.8.af_f_i 
(-5, 7, 0), [3, 7, 0], 3.8.af_h_a 
(-5, 9, -16), [3, 1, 0], 3.8.af_j_aq 
(-5, 9, -12), [3, 1, 4], 3.8.af_j_am 
(-5, 9, -8), [3, 1, 0], 3.8.af_j_ai 
(-5, 11, -24), [3, 3, 0], 3.8.af_l_ay 
(-5, 11, -20), [3, 3, 4], 3.8.af_l_au 
(-5, 11, -16), [3, 3, 0], 3.8.af_l_aq 
(-5, 13, -36), [3, 5, 4], 3.8.af_n_abk 
(-5, 13, -32), [3, 5, 0], 3.8.af_n_abg 
(-5, 13, -28), [3, 5, 4], 3.8.af_n_abc 
(-5, 13, -24), [3, 5, 0], 3.8.af_n_ay 
(-5, 15, -48), [3, 7, 0], 3.8.af_p_abw 
(-5, 15, -44), [3, 7, 4], 3.8.af_p_abs 
(-5, 15, -40), [3, 7, 0], 3.8.af_p_abo 
(-5, 15, -36), [3, 7, 4], 3.8.af_p_abk 
(-5, 15, -32), [3, 7, 0], 3.8.af_p_abg 
(-5, 17, -60), [3, 1, 4], 3.8.af_r_aci 
(-5, 17, -56), [3, 1, 0], 3.8.af_r_ace 
(-5, 17, -52), [3, 1, 4], 3.8.af_r_aca 
(-5, 17, -48), [3, 1, 0], 3.8.af_r_abw 
(-5, 17, -44), [3, 1, 4], 3.8.af_r_abs 
(-5, 17, -40), [3, 1, 0], 3.8.af_r_abo 
(-5, 19, -72), [3, 3, 0], 3.8.af_t_acu 
(-5, 19, -68), [3, 3, 4], 3.8.af_t_acq 
(-5, 19, -64), [3, 3, 0], 3.8.af_t_acm 
(-5, 19, -60), [3, 3, 4], 3.8.af_t_aci 
(-5, 19, -56), [3, 3, 0], 3.8.af_t_ace 
(-5, 19, -52), [3, 3, 4], 3.8.af_t_aca 
(-5, 19, -48), [3, 3, 0], 3.8.af_t_abw 
(-5, 21, -76), [3, 5, 4], 3.8.af_v_acy 
(-5, 21, -72), [3, 5, 0], 3.8.af_v_acu 
(-5, 21, -68), [3, 5, 4], 3.8.af_v_acq 
(-5, 21, -64), [3, 5, 0], 3.8.af_v_acm 
(-5, 21, -60), [3, 5, 4], 3.8.af_v_aci 
(-5, 21, -56), [3, 5, 0], 3.8.af_v_ace 
(-5, 23, -76), [3, 7, 4], 3.8.af_x_acy 
(-5, 23, -72), [3, 7, 0], 3.8.af_x_acu 
(-5, 23, -68), [3, 7, 4], 3.8.af_x_acq 
(-5, 23, -64), [3, 7, 0], 3.8.af_x_acm 
(-5, 25, -76), [3, 1, 4], 3.8.af_z_acy 
(-5, 25, -72), [3, 1, 0], 3.8.af_z_acu 
(-5, 27, -72), [3, 3, 0], 3.8.af_bb_acu 
