(-11, 61, -219), [1, 1, 1], 3.9.al_cj_ail 
(-11, 62, -225), [1, 2, 3], 3.9.al_ck_air 
(-10, 50, -171), [2, 2, 1], 3.9.ak_by_agp 
(-10, 52, -183), [2, 0, 1], 3.9.ak_ca_ahb 
(-10, 53, -186), [2, 1, 2], 3.9.ak_cb_ahe 
(-10, 55, -198), [2, 3, 2], 3.9.ak_cd_ahq 
(-10, 56, -201), [2, 0, 3], 3.9.ak_ce_aht 
(-9, 40, -129), [3, 0, 3], 3.9.aj_bo_aez 
(-9, 41, -135), [3, 1, 1], 3.9.aj_bp_aff 
(-9, 43, -144), [3, 3, 0], 3.9.aj_br_afo 
(-9, 44, -153), [3, 0, 3], 3.9.aj_bs_afx 
(-9, 46, -159), [3, 2, 1], 3.9.aj_bu_agd 
(-9, 47, -171), [3, 3, 1], 3.9.aj_bv_agp 
(-8, 26, -63), [0, 2, 1], 3.9.ai_ba_acl 
(-8, 28, -75), [0, 0, 1], 3.9.ai_bc_acx 
(-8, 29, -81), [0, 1, 3], 3.9.ai_bd_add 
(-8, 31, -93), [0, 3, 3], 3.9.ai_bf_adp 
(-8, 32, -99), [0, 0, 1], 3.9.ai_bg_adv 
(-8, 34, -111), [0, 2, 1], 3.9.ai_bi_aeh 
(-8, 34, -105), [0, 2, 3], 3.9.ai_bi_aeb 
(-8, 38, -135), [0, 2, 1], 3.9.ai_bm_aff 
(-8, 38, -129), [0, 2, 3], 3.9.ai_bm_aez 
(-8, 38, -123), [0, 2, 1], 3.9.ai_bm_aet 
(-8, 40, -147), [0, 0, 1], 3.9.ai_bo_afr 
(-8, 40, -141), [0, 0, 3], 3.9.ai_bo_afl 
(-8, 40, -135), [0, 0, 1], 3.9.ai_bo_aff 
(-8, 41, -147), [0, 1, 1], 3.9.ai_bp_afr 
(-8, 43, -150), [0, 3, 2], 3.9.ai_br_afu 
(-8, 44, -153), [0, 0, 3], 3.9.ai_bs_afx 
(-7, 17, -27), [1, 1, 1], 3.9.ah_r_abb 
(-7, 20, -45), [1, 0, 3], 3.9.ah_u_abt 
(-7, 20, -42), [1, 0, 2], 3.9.ah_u_abq 
(-7, 22, -57), [1, 2, 3], 3.9.ah_w_acf 
(-7, 23, -57), [1, 3, 3], 3.9.ah_x_acf 
(-7, 25, -75), [1, 1, 1], 3.9.ah_z_acx 
(-7, 25, -69), [1, 1, 3], 3.9.ah_z_acr 
(-7, 26, -81), [1, 2, 3], 3.9.ah_ba_add 
(-7, 26, -75), [1, 2, 1], 3.9.ah_ba_acx 
(-7, 26, -72), [1, 2, 0], 3.9.ah_ba_acu 
(-7, 28, -87), [1, 0, 1], 3.9.ah_bc_adj 
(-7, 28, -84), [1, 0, 0], 3.9.ah_bc_adg 
(-7, 29, -87), [1, 1, 1], 3.9.ah_bd_adj 
(-7, 31, -105), [1, 3, 3], 3.9.ah_bf_aeb 
(-7, 32, -117), [1, 0, 3], 3.9.ah_bg_aen 
(-7, 32, -114), [1, 0, 2], 3.9.ah_bg_aek 
(-7, 32, -111), [1, 0, 1], 3.9.ah_bg_aeh 
(-7, 32, -99), [1, 0, 1], 3.9.ah_bg_adv 
(-7, 34, -123), [1, 2, 1], 3.9.ah_bi_aet 
(-7, 34, -117), [1, 2, 3], 3.9.ah_bi_aen 
(-7, 34, -114), [1, 2, 2], 3.9.ah_bi_aek 
(-7, 34, -108), [1, 2, 0], 3.9.ah_bi_aee 
(-7, 35, -120), [1, 3, 0], 3.9.ah_bj_aeq 
(-7, 37, -123), [1, 1, 1], 3.9.ah_bl_aet 
(-6, 4, 33), [2, 0, 1], 3.9.ag_e_bh 
(-6, 7, 15), [2, 3, 3], 3.9.ag_h_p 
(-6, 8, 9), [2, 0, 1], 3.9.ag_i_j 
(-6, 10, -3), [2, 2, 1], 3.9.ag_k_ad 
(-6, 10, 0), [2, 2, 0], 3.9.ag_k_a 
(-6, 13, -21), [2, 1, 3], 3.9.ag_n_av 
(-6, 13, -15), [2, 1, 1], 3.9.ag_n_ap 
(-6, 14, -27), [2, 2, 1], 3.9.ag_o_abb 
(-6, 14, -21), [2, 2, 3], 3.9.ag_o_av 
(-6, 16, -33), [2, 0, 3], 3.9.ag_q_abh 
(-6, 17, -39), [2, 1, 1], 3.9.ag_r_abn 
(-6, 19, -48), [2, 3, 0], 3.9.ag_t_abw 
(-6, 19, -42), [2, 3, 2], 3.9.ag_t_abq 
(-6, 20, -63), [2, 0, 1], 3.9.ag_u_acl 
(-6, 20, -57), [2, 0, 3], 3.9.ag_u_acf 
(-6, 20, -51), [2, 0, 1], 3.9.ag_u_abz 
(-6, 22, -75), [2, 2, 1], 3.9.ag_w_acx 
(-6, 22, -69), [2, 2, 3], 3.9.ag_w_acr 
(-6, 22, -63), [2, 2, 1], 3.9.ag_w_acl 
(-6, 22, -57), [2, 2, 3], 3.9.ag_w_acf 
(-6, 25, -93), [2, 1, 3], 3.9.ag_z_adp 
(-6, 26, -99), [2, 2, 1], 3.9.ag_ba_adv 
(-6, 26, -93), [2, 2, 3], 3.9.ag_ba_adp 
(-6, 26, -87), [2, 2, 1], 3.9.ag_ba_adj 
(-6, 26, -84), [2, 2, 0], 3.9.ag_ba_adg 
(-6, 26, -81), [2, 2, 3], 3.9.ag_ba_add 
(-6, 28, -105), [2, 0, 3], 3.9.ag_bc_aeb 
(-6, 28, -99), [2, 0, 1], 3.9.ag_bc_adv 
(-6, 28, -93), [2, 0, 3], 3.9.ag_bc_adp 
(-6, 28, -87), [2, 0, 1], 3.9.ag_bc_adj 
(-6, 28, -81), [2, 0, 3], 3.9.ag_bc_add 
(-6, 29, -102), [2, 1, 2], 3.9.ag_bd_ady 
(-6, 31, -102), [2, 3, 2], 3.9.ag_bf_ady 
(-6, 31, -99), [2, 3, 1], 3.9.ag_bf_adv 
(-6, 32, -105), [2, 0, 3], 3.9.ag_bg_aeb 
(-6, 32, -99), [2, 0, 1], 3.9.ag_bg_adv 
(-6, 34, -105), [2, 2, 3], 3.9.ag_bi_aeb 
(-5, -8, 87), [3, 0, 3], 3.9.af_ai_dj 
(-5, -7, 81), [3, 1, 1], 3.9.af_ah_dd 
(-5, -5, 69), [3, 3, 1], 3.9.af_af_cr 
(-5, -4, 63), [3, 0, 3], 3.9.af_ae_cl 
(-5, -2, 51), [3, 2, 3], 3.9.af_ac_bz 
(-5, -2, 54), [3, 2, 2], 3.9.af_ac_cc 
(-5, -1, 48), [3, 3, 0], 3.9.af_ab_bw 
(-5, 2, 27), [3, 2, 3], 3.9.af_c_bb 
(-5, 2, 30), [3, 2, 2], 3.9.af_c_be 
(-5, 2, 33), [3, 2, 1], 3.9.af_c_bh 
(-5, 4, 15), [3, 0, 3], 3.9.af_e_p 
(-5, 4, 21), [3, 0, 1], 3.9.af_e_v 
(-5, 5, 12), [3, 1, 0], 3.9.af_f_m 
(-5, 7, 3), [3, 3, 3], 3.9.af_h_d 
