(-12, 67, -253), [10, 1, 0], 3.11.am_cp_ajt 
(-11, 59, -220), [0, 4, 0], 3.11.al_ch_aim 
(-11, 61, -231), [0, 6, 0], 3.11.al_cj_aix 
(-11, 69, -275), [0, 3, 0], 3.11.al_cr_akp 
(-10, 49, -176), [1, 5, 0], 3.11.ak_bx_agu 
(-10, 51, -187), [1, 7, 0], 3.11.ak_bz_ahf 
(-10, 53, -198), [1, 9, 0], 3.11.ak_cb_ahq 
(-10, 61, -242), [1, 6, 0], 3.11.ak_cj_aji 
(-9, 36, -110), [2, 3, 0], 3.11.aj_bk_aeg 
(-9, 39, -132), [2, 6, 0], 3.11.aj_bn_afc 
(-9, 41, -143), [2, 8, 0], 3.11.aj_bp_afn 
(-9, 43, -154), [2, 10, 0], 3.11.aj_br_afy 
(-9, 45, -165), [2, 1, 0], 3.11.aj_bt_agj 
(-9, 47, -176), [2, 3, 0], 3.11.aj_bv_agu 
(-9, 49, -187), [2, 5, 0], 3.11.aj_bx_ahf 
(-9, 53, -209), [2, 9, 0], 3.11.aj_cb_aib 
(-8, 21, -33), [3, 10, 0], 3.11.ai_v_abh 
(-8, 29, -88), [3, 7, 0], 3.11.ai_bd_adk 
(-8, 30, -88), [3, 8, 0], 3.11.ai_be_adk 
(-8, 31, -99), [3, 9, 0], 3.11.ai_bf_adv 
(-8, 35, -121), [3, 2, 0], 3.11.ai_bj_aer 
(-8, 36, -132), [3, 3, 0], 3.11.ai_bk_afc 
(-8, 37, -132), [3, 4, 0], 3.11.ai_bl_afc 
(-8, 39, -154), [3, 6, 0], 3.11.ai_bn_afy 
(-8, 39, -143), [3, 6, 0], 3.11.ai_bn_afn 
(-8, 39, -132), [3, 6, 0], 3.11.ai_bn_afc 
(-8, 40, -154), [3, 7, 0], 3.11.ai_bo_afy 
(-8, 41, -165), [3, 8, 0], 3.11.ai_bp_agj 
(-8, 41, -154), [3, 8, 0], 3.11.ai_bp_afy 
(-8, 41, -143), [3, 8, 0], 3.11.ai_bp_afn 
(-8, 42, -154), [3, 9, 0], 3.11.ai_bq_afy 
(-8, 43, -165), [3, 10, 0], 3.11.ai_br_agj 
(-8, 43, -154), [3, 10, 0], 3.11.ai_br_afy 
(-8, 45, -165), [3, 1, 0], 3.11.ai_bt_agj 
(-7, 9, 22), [4, 9, 0], 3.11.ah_j_w 
(-7, 13, 0), [4, 2, 0], 3.11.ah_n_a 
(-7, 15, -11), [4, 4, 0], 3.11.ah_p_al 
(-7, 16, -22), [4, 5, 0], 3.11.ah_q_aw 
(-7, 19, -44), [4, 8, 0], 3.11.ah_t_abs 
(-7, 19, -33), [4, 8, 0], 3.11.ah_t_abh 
(-7, 20, -44), [4, 9, 0], 3.11.ah_u_abs 
(-7, 21, -55), [4, 10, 0], 3.11.ah_v_acd 
(-7, 23, -55), [4, 1, 0], 3.11.ah_x_acd 
(-7, 24, -66), [4, 2, 0], 3.11.ah_y_aco 
(-7, 25, -77), [4, 3, 0], 3.11.ah_z_acz 
(-7, 25, -66), [4, 3, 0], 3.11.ah_z_aco 
(-7, 26, -88), [4, 4, 0], 3.11.ah_ba_adk 
(-7, 27, -88), [4, 5, 0], 3.11.ah_bb_adk 
(-7, 27, -77), [4, 5, 0], 3.11.ah_bb_acz 
(-7, 29, -110), [4, 7, 0], 3.11.ah_bd_aeg 
(-7, 29, -99), [4, 7, 0], 3.11.ah_bd_adv 
(-7, 29, -88), [4, 7, 0], 3.11.ah_bd_adk 
(-7, 30, -110), [4, 8, 0], 3.11.ah_be_aeg 
(-7, 31, -121), [4, 9, 0], 3.11.ah_bf_aer 
(-7, 31, -110), [4, 9, 0], 3.11.ah_bf_aeg 
(-7, 31, -99), [4, 9, 0], 3.11.ah_bf_adv 
(-7, 32, -110), [4, 10, 0], 3.11.ah_bg_aeg 
(-7, 34, -132), [4, 1, 0], 3.11.ah_bi_afc 
(-7, 35, -143), [4, 2, 0], 3.11.ah_bj_afn 
(-7, 35, -132), [4, 2, 0], 3.11.ah_bj_afc 
(-7, 35, -121), [4, 2, 0], 3.11.ah_bj_aer 
(-7, 36, -132), [4, 3, 0], 3.11.ah_bk_afc 
(-7, 37, -143), [4, 4, 0], 3.11.ah_bl_afn 
(-7, 37, -132), [4, 4, 0], 3.11.ah_bl_afc 
(-7, 38, -132), [4, 5, 0], 3.11.ah_bm_afc 
(-7, 39, -143), [4, 6, 0], 3.11.ah_bn_afn 
(-7, 39, -132), [4, 6, 0], 3.11.ah_bn_afc 
(-7, 41, -143), [4, 8, 0], 3.11.ah_bp_afn 
(-6, -4, 88), [5, 7, 0], 3.11.ag_ae_dk 
(-6, -1, 66), [5, 10, 0], 3.11.ag_ab_co 
(-6, 3, 44), [5, 3, 0], 3.11.ag_d_bs 
(-6, 6, 22), [5, 6, 0], 3.11.ag_g_w 
(-6, 7, 22), [5, 7, 0], 3.11.ag_h_w 
(-6, 9, 0), [5, 9, 0], 3.11.ag_j_a 
(-6, 9, 11), [5, 9, 0], 3.11.ag_j_l 
(-6, 10, 0), [5, 10, 0], 3.11.ag_k_a 
(-6, 13, -22), [5, 2, 0], 3.11.ag_n_aw 
(-6, 13, -11), [5, 2, 0], 3.11.ag_n_al 
(-6, 14, -22), [5, 3, 0], 3.11.ag_o_aw 
(-6, 15, -33), [5, 4, 0], 3.11.ag_p_abh 
(-6, 15, -22), [5, 4, 0], 3.11.ag_p_aw 
(-6, 16, -44), [5, 5, 0], 3.11.ag_q_abs 
(-6, 17, -44), [5, 6, 0], 3.11.ag_r_abs 
(-6, 17, -33), [5, 6, 0], 3.11.ag_r_abh 
(-6, 18, -44), [5, 7, 0], 3.11.ag_s_abs 
(-6, 19, -66), [5, 8, 0], 3.11.ag_t_aco 
(-6, 19, -55), [5, 8, 0], 3.11.ag_t_acd 
(-6, 20, -44), [5, 9, 0], 3.11.ag_u_abs 
(-6, 21, -77), [5, 10, 0], 3.11.ag_v_acz 
(-6, 21, -66), [5, 10, 0], 3.11.ag_v_aco 
(-6, 21, -55), [5, 10, 0], 3.11.ag_v_acd 
(-6, 23, -88), [5, 1, 0], 3.11.ag_x_adk 
(-6, 23, -77), [5, 1, 0], 3.11.ag_x_acz 
(-6, 23, -66), [5, 1, 0], 3.11.ag_x_aco 
(-6, 24, -88), [5, 2, 0], 3.11.ag_y_adk 
(-6, 24, -66), [5, 2, 0], 3.11.ag_y_aco 
(-6, 25, -99), [5, 3, 0], 3.11.ag_z_adv 
(-6, 25, -88), [5, 3, 0], 3.11.ag_z_adk 
(-6, 25, -77), [5, 3, 0], 3.11.ag_z_acz 
(-6, 25, -66), [5, 3, 0], 3.11.ag_z_aco 
(-6, 26, -110), [5, 4, 0], 3.11.ag_ba_aeg 
(-6, 26, -88), [5, 4, 0], 3.11.ag_ba_adk 
(-6, 27, -110), [5, 5, 0], 3.11.ag_bb_aeg 
(-6, 27, -99), [5, 5, 0], 3.11.ag_bb_adv 
(-6, 27, -88), [5, 5, 0], 3.11.ag_bb_adk 
(-6, 28, -88), [5, 6, 0], 3.11.ag_bc_adk 
(-6, 29, -121), [5, 7, 0], 3.11.ag_bd_aer 
(-6, 29, -110), [5, 7, 0], 3.11.ag_bd_aeg 
(-6, 29, -99), [5, 7, 0], 3.11.ag_bd_adv 
(-6, 29, -88), [5, 7, 0], 3.11.ag_bd_adk 
(-6, 31, -121), [5, 9, 0], 3.11.ag_bf_aer 
(-6, 31, -110), [5, 9, 0], 3.11.ag_bf_aeg 
(-6, 32, -110), [5, 10, 0], 3.11.ag_bg_aeg 
(-6, 34, -110), [5, 1, 0], 3.11.ag_bi_aeg 
(-6, 35, -121), [5, 2, 0], 3.11.ag_bj_aer 
(-6, 35, -110), [5, 2, 0], 3.11.ag_bj_aeg 
(-5, -10, 110), [6, 1, 0], 3.11.af_ak_eg 
(-5, -9, 99), [6, 2, 0], 3.11.af_aj_dv 
(-5, -5, 77), [6, 6, 0], 3.11.af_af_cz 
(-5, -4, 66), [6, 7, 0], 3.11.af_ae_co 
(-5, -3, 66), [6, 8, 0], 3.11.af_ad_co 
(-5, -2, 66), [6, 9, 0], 3.11.af_ac_co 
(-5, -1, 44), [6, 10, 0], 3.11.af_ab_bs 
(-5, -1, 55), [6, 10, 0], 3.11.af_ab_cd 
(-5, 1, 33), [6, 1, 0], 3.11.af_b_bh 
(-5, 1, 44), [6, 1, 0], 3.11.af_b_bs 
(-5, 2, 44), [6, 2, 0], 3.11.af_c_bs 
(-5, 3, 22), [6, 3, 0], 3.11.af_d_w 
(-5, 3, 33), [6, 3, 0], 3.11.af_d_bh 
(-5, 5, 11), [6, 5, 0], 3.11.af_f_l 
(-5, 6, 0), [6, 6, 0], 3.11.af_g_a 
(-5, 6, 22), [6, 6, 0], 3.11.af_g_w 
(-5, 7, 0), [6, 7, 0], 3.11.af_h_a 
(-5, 7, 11), [6, 7, 0], 3.11.af_h_l 
(-5, 8, 0), [6, 8, 0], 3.11.af_i_a 
(-5, 9, -22), [6, 9, 0], 3.11.af_j_aw 
(-5, 9, -11), [6, 9, 0], 3.11.af_j_al 
(-5, 9, 0), [6, 9, 0], 3.11.af_j_a 
(-5, 10, -22), [6, 10, 0], 3.11.af_k_aw 
(-5, 10, 0), [6, 10, 0], 3.11.af_k_a 
(-5, 12, -22), [6, 1, 0], 3.11.af_m_aw 
(-5, 13, -44), [6, 2, 0], 3.11.af_n_abs 
(-5, 13, -33), [6, 2, 0], 3.11.af_n_abh 
(-5, 13, -22), [6, 2, 0], 3.11.af_n_aw 
(-5, 13, -11), [6, 2, 0], 3.11.af_n_al 
(-5, 14, -44), [6, 3, 0], 3.11.af_o_abs 
(-5, 14, -22), [6, 3, 0], 3.11.af_o_aw 
(-5, 15, -55), [6, 4, 0], 3.11.af_p_acd 
(-5, 15, -44), [6, 4, 0], 3.11.af_p_abs 
(-5, 15, -33), [6, 4, 0], 3.11.af_p_abh 
(-5, 16, -66), [6, 5, 0], 3.11.af_q_aco 
(-5, 17, -55), [6, 6, 0], 3.11.af_r_acd 
(-5, 17, -33), [6, 6, 0], 3.11.af_r_abh 
(-5, 18, -66), [6, 7, 0], 3.11.af_s_aco 
(-5, 18, -44), [6, 7, 0], 3.11.af_s_abs 
(-5, 19, -88), [6, 8, 0], 3.11.af_t_adk 
(-5, 19, -77), [6, 8, 0], 3.11.af_t_acz 
(-5, 19, -66), [6, 8, 0], 3.11.af_t_aco 
(-5, 19, -55), [6, 8, 0], 3.11.af_t_acd 
(-5, 19, -44), [6, 8, 0], 3.11.af_t_abs 
(-5, 20, -88), [6, 9, 0], 3.11.af_u_adk 
(-5, 20, -66), [6, 9, 0], 3.11.af_u_aco 
(-5, 20, -44), [6, 9, 0], 3.11.af_u_abs 
(-5, 21, -99), [6, 10, 0], 3.11.af_v_adv 
(-5, 21, -88), [6, 10, 0], 3.11.af_v_adk 
(-5, 21, -77), [6, 10, 0], 3.11.af_v_acz 
(-5, 21, -66), [6, 10, 0], 3.11.af_v_aco 
(-5, 21, -55), [6, 10, 0], 3.11.af_v_acd 
(-5, 23, -99), [6, 1, 0], 3.11.af_x_adv 
(-5, 23, -88), [6, 1, 0], 3.11.af_x_adk 
(-5, 23, -77), [6, 1, 0], 3.11.af_x_acz 
(-5, 23, -66), [6, 1, 0], 3.11.af_x_aco 
(-5, 23, -55), [6, 1, 0], 3.11.af_x_acd 
(-5, 24, -88), [6, 2, 0], 3.11.af_y_adk 
(-5, 24, -66), [6, 2, 0], 3.11.af_y_aco 
(-5, 25, -99), [6, 3, 0], 3.11.af_z_adv 
(-5, 25, -88), [6, 3, 0], 3.11.af_z_adk 
(-5, 25, -77), [6, 3, 0], 3.11.af_z_acz 
(-5, 25, -66), [6, 3, 0], 3.11.af_z_aco 
(-5, 26, -88), [6, 4, 0], 3.11.af_ba_adk 
(-5, 27, -99), [6, 5, 0], 3.11.af_bb_adv 
(-5, 27, -88), [6, 5, 0], 3.11.af_bb_adk 
(-5, 27, -77), [6, 5, 0], 3.11.af_bb_acz 
(-5, 29, -99), [6, 7, 0], 3.11.af_bd_adv 
(-5, 29, -88), [6, 7, 0], 3.11.af_bd_adk 
(-5, 31, -99), [6, 9, 0], 3.11.af_bf_adv 
(-5, 31, -88), [6, 9, 0], 3.11.af_bf_adk 
(-5, 35, -99), [6, 2, 0], 3.11.af_bj_adv 
(-4, -10, 88), [7, 1, 0], 3.11.ae_ak_dk 
(-4, -9, 88), [7, 2, 0], 3.11.ae_aj_dk 
(-4, -8, 88), [7, 3, 0], 3.11.ae_ai_dk 
(-4, -7, 66), [7, 4, 0], 3.11.ae_ah_co 
(-4, -7, 77), [7, 4, 0], 3.11.ae_ah_cz 
(-4, -6, 66), [7, 5, 0], 3.11.ae_ag_co 
(-4, -5, 55), [7, 6, 0], 3.11.ae_af_cd 
(-4, -5, 66), [7, 6, 0], 3.11.ae_af_co 
(-4, -4, 44), [7, 7, 0], 3.11.ae_ae_bs 
(-4, -4, 66), [7, 7, 0], 3.11.ae_ae_co 
(-4, -3, 44), [7, 8, 0], 3.11.ae_ad_bs 
(-4, -3, 55), [7, 8, 0], 3.11.ae_ad_cd 
(-4, -3, 66), [7, 8, 0], 3.11.ae_ad_co 
(-4, -2, 44), [7, 9, 0], 3.11.ae_ac_bs 
(-4, -1, 22), [7, 10, 0], 3.11.ae_ab_w 
(-4, -1, 33), [7, 10, 0], 3.11.ae_ab_bh 
(-4, -1, 55), [7, 10, 0], 3.11.ae_ab_cd 
(-4, 1, 11), [7, 1, 0], 3.11.ae_b_l 
(-4, 1, 22), [7, 1, 0], 3.11.ae_b_w 
(-4, 1, 33), [7, 1, 0], 3.11.ae_b_bh 
(-4, 1, 44), [7, 1, 0], 3.11.ae_b_bs 
(-4, 2, 22), [7, 2, 0], 3.11.ae_c_w 
(-4, 3, 0), [7, 3, 0], 3.11.ae_d_a 
(-4, 3, 22), [7, 3, 0], 3.11.ae_d_w 
(-4, 3, 33), [7, 3, 0], 3.11.ae_d_bh 
(-4, 4, 0), [7, 4, 0], 3.11.ae_e_a 
(-4, 4, 22), [7, 4, 0], 3.11.ae_e_w 
(-4, 5, -11), [7, 5, 0], 3.11.ae_f_al 
(-4, 5, 0), [7, 5, 0], 3.11.ae_f_a 
(-4, 5, 11), [7, 5, 0], 3.11.ae_f_l 
(-4, 5, 22), [7, 5, 0], 3.11.ae_f_w 
(-4, 6, -22), [7, 6, 0], 3.11.ae_g_aw 
(-4, 6, 0), [7, 6, 0], 3.11.ae_g_a 
(-4, 7, -22), [7, 7, 0], 3.11.ae_h_aw 
(-4, 7, -11), [7, 7, 0], 3.11.ae_h_al 
(-4, 7, 0), [7, 7, 0], 3.11.ae_h_a 
(-4, 7, 11), [7, 7, 0], 3.11.ae_h_l 
(-4, 8, -22), [7, 8, 0], 3.11.ae_i_aw 
(-4, 8, 0), [7, 8, 0], 3.11.ae_i_a 
(-4, 9, -44), [7, 9, 0], 3.11.ae_j_abs 
(-4, 9, -33), [7, 9, 0], 3.11.ae_j_abh 
(-4, 9, -22), [7, 9, 0], 3.11.ae_j_aw 
(-4, 9, -11), [7, 9, 0], 3.11.ae_j_al 
(-4, 9, 0), [7, 9, 0], 3.11.ae_j_a 
(-4, 10, -44), [7, 10, 0], 3.11.ae_k_abs 
(-4, 10, 0), [7, 10, 0], 3.11.ae_k_a 
(-4, 12, -22), [7, 1, 0], 3.11.ae_m_aw 
(-4, 13, -66), [7, 2, 0], 3.11.ae_n_aco 
(-4, 13, -55), [7, 2, 0], 3.11.ae_n_acd 
(-4, 13, -44), [7, 2, 0], 3.11.ae_n_abs 
(-4, 13, -33), [7, 2, 0], 3.11.ae_n_abh 
(-4, 13, -22), [7, 2, 0], 3.11.ae_n_aw 
(-4, 13, -11), [7, 2, 0], 3.11.ae_n_al 
(-4, 14, -44), [7, 3, 0], 3.11.ae_o_abs 
(-4, 15, -77), [7, 4, 0], 3.11.ae_p_acz 
(-4, 15, -66), [7, 4, 0], 3.11.ae_p_aco 
(-4, 15, -55), [7, 4, 0], 3.11.ae_p_acd 
(-4, 15, -33), [7, 4, 0], 3.11.ae_p_abh 
