(-13, 85, -364), [0, 7, 0], 3.13.an_dh_aoa 
(-13, 87, -377), [0, 9, 0], 3.13.an_dj_aon 
(-13, 89, -390), [0, 11, 0], 3.13.an_dl_apa 
(-12, 70, -286), [1, 5, 0], 3.13.am_cs_ala 
(-12, 77, -325), [1, 12, 0], 3.13.am_cz_amn 
(-12, 79, -338), [1, 1, 0], 3.13.am_db_ana 
(-12, 81, -351), [1, 3, 0], 3.13.am_dd_ann 
(-11, 60, -234), [2, 8, 0], 3.13.al_ci_aja 
(-11, 61, -247), [2, 9, 0], 3.13.al_cj_ajn 
(-11, 63, -260), [2, 11, 0], 3.13.al_cl_aka 
(-11, 64, -260), [2, 12, 0], 3.13.al_cm_aka 
(-11, 69, -299), [2, 4, 0], 3.13.al_cr_aln 
(-11, 71, -312), [2, 6, 0], 3.13.al_ct_ama 
(-11, 71, -299), [2, 6, 0], 3.13.al_ct_aln 
(-11, 72, -312), [2, 7, 0], 3.13.al_cu_ama 
(-11, 73, -312), [2, 8, 0], 3.13.al_cv_ama 
(-11, 74, -312), [2, 9, 0], 3.13.al_cw_ama 
(-10, 43, -143), [3, 4, 0], 3.13.ak_br_afn 
(-10, 45, -156), [3, 6, 0], 3.13.ak_bt_aga 
(-10, 49, -182), [3, 10, 0], 3.13.ak_bx_aha 
(-10, 53, -208), [3, 1, 0], 3.13.ak_cb_aia 
(-10, 54, -208), [3, 2, 0], 3.13.ak_cc_aia 
(-10, 55, -221), [3, 3, 0], 3.13.ak_cd_ain 
(-10, 56, -234), [3, 4, 0], 3.13.ak_ce_aja 
(-10, 57, -234), [3, 5, 0], 3.13.ak_cf_aja 
(-10, 58, -234), [3, 6, 0], 3.13.ak_cg_aja 
(-10, 59, -247), [3, 7, 0], 3.13.ak_ch_ajn 
(-10, 59, -234), [3, 7, 0], 3.13.ak_ch_aja 
(-10, 61, -247), [3, 9, 0], 3.13.ak_cj_ajn 
(-10, 63, -273), [3, 11, 0], 3.13.ak_cl_akn 
(-10, 69, -286), [3, 4, 0], 3.13.ak_cr_ala 
(-9, 25, -39), [4, 12, 0], 3.13.aj_z_abn 
(-9, 29, -65), [4, 3, 0], 3.13.aj_bd_acn 
(-9, 33, -91), [4, 7, 0], 3.13.aj_bh_adn 
(-9, 34, -104), [4, 8, 0], 3.13.aj_bi_aea 
(-9, 35, -104), [4, 9, 0], 3.13.aj_bj_aea 
(-9, 37, -117), [4, 11, 0], 3.13.aj_bl_aen 
(-9, 38, -130), [4, 12, 0], 3.13.aj_bm_afa 
(-9, 41, -143), [4, 2, 0], 3.13.aj_bp_afn 
(-9, 42, -156), [4, 3, 0], 3.13.aj_bq_aga 
(-9, 43, -169), [4, 4, 0], 3.13.aj_br_agn 
(-9, 43, -156), [4, 4, 0], 3.13.aj_br_aga 
(-9, 45, -182), [4, 6, 0], 3.13.aj_bt_aha 
(-9, 45, -169), [4, 6, 0], 3.13.aj_bt_agn 
(-9, 47, -195), [4, 8, 0], 3.13.aj_bv_ahn 
(-9, 47, -182), [4, 8, 0], 3.13.aj_bv_aha 
(-9, 48, -182), [4, 9, 0], 3.13.aj_bw_aha 
(-9, 49, -208), [4, 10, 0], 3.13.aj_bx_aia 
(-9, 49, -195), [4, 10, 0], 3.13.aj_bx_ahn 
(-9, 50, -208), [4, 11, 0], 3.13.aj_by_aia 
(-9, 51, -221), [4, 12, 0], 3.13.aj_bz_ain 
(-9, 51, -208), [4, 12, 0], 3.13.aj_bz_aia 
(-9, 51, -195), [4, 12, 0], 3.13.aj_bz_ahn 
(-9, 53, -221), [4, 1, 0], 3.13.aj_cb_ain 
(-9, 53, -208), [4, 1, 0], 3.13.aj_cb_aia 
(-9, 55, -221), [4, 3, 0], 3.13.aj_cd_ain 
(-9, 59, -247), [4, 7, 0], 3.13.aj_ch_ajn 
(-9, 61, -247), [4, 9, 0], 3.13.aj_cj_ajn 
(-8, 16, 0), [5, 3, 0], 3.13.ai_q_a 
(-8, 24, -52), [5, 11, 0], 3.13.ai_y_aca 
(-8, 25, -65), [5, 12, 0], 3.13.ai_z_acn 
(-8, 27, -78), [5, 1, 0], 3.13.ai_bb_ada 
(-8, 27, -65), [5, 1, 0], 3.13.ai_bb_acn 
(-8, 29, -91), [5, 3, 0], 3.13.ai_bd_adn 
(-8, 29, -78), [5, 3, 0], 3.13.ai_bd_ada 
(-8, 31, -104), [5, 5, 0], 3.13.ai_bf_aea 
(-8, 31, -91), [5, 5, 0], 3.13.ai_bf_adn 
(-8, 32, -104), [5, 6, 0], 3.13.ai_bg_aea 
(-8, 33, -104), [5, 7, 0], 3.13.ai_bh_aea 
(-8, 34, -130), [5, 8, 0], 3.13.ai_bi_afa 
(-8, 35, -130), [5, 9, 0], 3.13.ai_bj_afa 
(-8, 35, -117), [5, 9, 0], 3.13.ai_bj_aen 
(-8, 36, -130), [5, 10, 0], 3.13.ai_bk_afa 
(-8, 37, -143), [5, 11, 0], 3.13.ai_bl_afn 
(-8, 37, -130), [5, 11, 0], 3.13.ai_bl_afa 
(-8, 38, -156), [5, 12, 0], 3.13.ai_bm_aga 
(-8, 40, -156), [5, 1, 0], 3.13.ai_bo_aga 
(-8, 41, -156), [5, 2, 0], 3.13.ai_bp_aga 
(-8, 42, -182), [5, 3, 0], 3.13.ai_bq_aha 
(-8, 43, -182), [5, 4, 0], 3.13.ai_br_aha 
(-8, 43, -169), [5, 4, 0], 3.13.ai_br_agn 
(-8, 43, -156), [5, 4, 0], 3.13.ai_br_aga 
(-8, 44, -182), [5, 5, 0], 3.13.ai_bs_aha 
(-8, 45, -195), [5, 6, 0], 3.13.ai_bt_ahn 
(-8, 45, -182), [5, 6, 0], 3.13.ai_bt_aha 
(-8, 45, -169), [5, 6, 0], 3.13.ai_bt_agn 
(-8, 46, -182), [5, 7, 0], 3.13.ai_bu_aha 
(-8, 47, -195), [5, 8, 0], 3.13.ai_bv_ahn 
(-8, 47, -182), [5, 8, 0], 3.13.ai_bv_aha 
(-8, 48, -182), [5, 9, 0], 3.13.ai_bw_aha 
(-8, 49, -195), [5, 10, 0], 3.13.ai_bx_ahn 
(-8, 51, -195), [5, 12, 0], 3.13.ai_bz_ahn 
(-7, 2, 78), [6, 2, 0], 3.13.ah_c_da 
(-7, 7, 39), [6, 7, 0], 3.13.ah_h_bn 
(-7, 9, 26), [6, 9, 0], 3.13.ah_j_ba 
(-7, 10, 26), [6, 10, 0], 3.13.ah_k_ba 
(-7, 14, 0), [6, 1, 0], 3.13.ah_o_a 
(-7, 15, -13), [6, 2, 0], 3.13.ah_p_an 
(-7, 16, -26), [6, 3, 0], 3.13.ah_q_aba 
(-7, 17, -26), [6, 4, 0], 3.13.ah_r_aba 
(-7, 18, -26), [6, 5, 0], 3.13.ah_s_aba 
(-7, 19, -39), [6, 6, 0], 3.13.ah_t_abn 
(-7, 20, -52), [6, 7, 0], 3.13.ah_u_aca 
(-7, 21, -52), [6, 8, 0], 3.13.ah_v_aca 
(-7, 21, -39), [6, 8, 0], 3.13.ah_v_abn 
(-7, 22, -52), [6, 9, 0], 3.13.ah_w_aca 
(-7, 23, -65), [6, 10, 0], 3.13.ah_x_acn 
(-7, 24, -78), [6, 11, 0], 3.13.ah_y_ada 
(-7, 25, -91), [6, 12, 0], 3.13.ah_z_adn 
