(-16, 129, -640), [0, 1, 0], 3.16.aq_ez_ayq 
(-14, 97, -452), [2, 1, 12], 3.16.ao_dt_ark 
(-14, 99, -464), [2, 3, 0], 3.16.ao_dv_arw 
(-14, 101, -484), [2, 5, 12], 3.16.ao_dx_asq 
(-14, 103, -500), [2, 7, 12], 3.16.ao_dz_atg 
(-12, 65, -260), [4, 1, 12], 3.16.am_cn_aka 
(-12, 67, -276), [4, 3, 12], 3.16.am_cp_akq 
(-12, 69, -292), [4, 5, 12], 3.16.am_cr_alg 
(-12, 69, -288), [4, 5, 0], 3.16.am_cr_alc 
(-12, 71, -308), [4, 7, 12], 3.16.am_ct_alw 
(-12, 71, -304), [4, 7, 0], 3.16.am_ct_als 
(-12, 73, -320), [4, 9, 0], 3.16.am_cv_ami 
(-12, 75, -340), [4, 11, 12], 3.16.am_cx_anc 
(-12, 75, -336), [4, 11, 0], 3.16.am_cx_amy 
(-12, 75, -332), [4, 11, 4], 3.16.am_cx_amu 
(-12, 77, -352), [4, 13, 0], 3.16.am_cz_ano 
(-12, 77, -348), [4, 13, 4], 3.16.am_cz_ank 
(-12, 79, -368), [4, 15, 0], 3.16.am_db_aoe 
(-12, 81, -380), [4, 1, 4], 3.16.am_dd_aoq 
(-12, 81, -376), [4, 1, 8], 3.16.am_dd_aom 
(-12, 81, -372), [4, 1, 12], 3.16.am_dd_aoi 
(-12, 83, -404), [4, 3, 12], 3.16.am_df_apo 
(-12, 83, -392), [4, 3, 8], 3.16.am_df_apc 
(-12, 83, -380), [4, 3, 4], 3.16.am_df_aoq 
(-12, 85, -408), [4, 5, 8], 3.16.am_dh_aps 
(-12, 85, -396), [4, 5, 4], 3.16.am_dh_apg 
(-12, 85, -392), [4, 5, 8], 3.16.am_dh_apc 
(-12, 87, -416), [4, 7, 0], 3.16.am_dj_aqa 
(-10, 31, -52), [6, 15, 12], 3.16.ak_bf_aca 
(-10, 37, -100), [6, 5, 12], 3.16.ak_bl_adw 
(-10, 39, -112), [6, 7, 0], 3.16.ak_bn_aei 
(-10, 41, -132), [6, 9, 12], 3.16.ak_bp_afc 
(-10, 41, -128), [6, 9, 0], 3.16.ak_bp_aey 
(-10, 43, -144), [6, 11, 0], 3.16.ak_br_afo 
(-10, 43, -140), [6, 11, 4], 3.16.ak_br_afk 
(-10, 45, -164), [6, 13, 12], 3.16.ak_bt_agi 
(-10, 45, -160), [6, 13, 0], 3.16.ak_bt_age 
