(-15, 109, -527), [1, 1, 1], 3.17.ap_ef_auh 
(-15, 111, -544), [1, 3, 0], 3.17.ap_eh_auy 
(-15, 113, -561), [1, 1, 3], 3.17.ap_ej_avp 
(-14, 95, -442), [2, 3, 2], 3.17.ao_dr_ara 
(-14, 97, -459), [2, 1, 1], 3.17.ao_dt_arr 
(-14, 101, -493), [2, 1, 3], 3.17.ao_dx_asz 
(-14, 103, -510), [2, 3, 2], 3.17.ao_dz_atq 
(-14, 104, -510), [2, 0, 2], 3.17.ao_ea_atq 
(-14, 105, -527), [2, 1, 1], 3.17.ao_eb_auh 
(-14, 107, -527), [2, 3, 1], 3.17.ao_ed_auh 
(-14, 110, -544), [2, 2, 0], 3.17.ao_eg_auy 
(-13, 83, -374), [3, 3, 2], 3.17.an_df_aok 
(-13, 87, -408), [3, 3, 0], 3.17.an_dj_aps 
(-13, 88, -408), [3, 0, 0], 3.17.an_dk_aps 
(-13, 89, -425), [3, 1, 3], 3.17.an_dl_aqj 
(-13, 93, -459), [3, 1, 1], 3.17.an_dp_arr 
(-13, 95, -476), [3, 3, 0], 3.17.an_dr_asi 
(-13, 95, -459), [3, 3, 1], 3.17.an_dr_arr 
(-13, 96, -476), [3, 0, 0], 3.17.an_ds_asi 
(-13, 98, -476), [3, 2, 0], 3.17.an_du_asi 
(-13, 99, -493), [3, 3, 3], 3.17.an_dv_asz 
(-13, 101, -493), [3, 1, 3], 3.17.an_dx_asz 
(-12, 62, -238), [0, 2, 2], 3.17.am_ck_aje 
(-12, 71, -306), [0, 3, 2], 3.17.am_ct_alu 
(-12, 73, -323), [0, 1, 1], 3.17.am_cv_aml 
(-12, 74, -340), [0, 2, 0], 3.17.am_cw_anc 
(-12, 75, -340), [0, 3, 0], 3.17.am_cx_anc 
(-12, 76, -340), [0, 0, 0], 3.17.am_cy_anc 
(-12, 77, -357), [0, 1, 3], 3.17.am_cz_ant 
(-12, 78, -374), [0, 2, 2], 3.17.am_da_aok 
(-12, 79, -374), [0, 3, 2], 3.17.am_db_aok 
(-12, 80, -374), [0, 0, 2], 3.17.am_dc_aok 
(-12, 81, -391), [0, 1, 1], 3.17.am_dd_apb 
(-12, 81, -374), [0, 1, 2], 3.17.am_dd_aok 
(-12, 83, -391), [0, 3, 1], 3.17.am_df_apb 
(-12, 87, -425), [0, 3, 3], 3.17.am_dj_aqj 
(-12, 89, -442), [0, 1, 2], 3.17.am_dl_ara 
(-12, 89, -425), [0, 1, 3], 3.17.am_dl_aqj 
(-12, 90, -442), [0, 2, 2], 3.17.am_dm_ara 
(-12, 91, -442), [0, 3, 2], 3.17.am_dn_ara 
(-12, 92, -442), [0, 0, 2], 3.17.am_do_ara 
(-11, 43, -119), [1, 3, 1], 3.17.al_br_aep 
(-11, 49, -170), [1, 1, 2], 3.17.al_bx_ago 
(-11, 50, -170), [1, 2, 2], 3.17.al_by_ago 
(-11, 54, -204), [1, 2, 0], 3.17.al_cc_ahw 
(-11, 57, -221), [1, 1, 3], 3.17.al_cf_ain 
(-11, 59, -238), [1, 3, 2], 3.17.al_ch_aje 
(-11, 61, -255), [1, 1, 1], 3.17.al_cj_ajv 
(-11, 62, -272), [1, 2, 0], 3.17.al_ck_akm 
(-11, 63, -272), [1, 3, 0], 3.17.al_cl_akm 
(-11, 65, -289), [1, 1, 3], 3.17.al_cn_ald 
(-11, 66, -306), [1, 2, 2], 3.17.al_co_alu 
(-11, 67, -306), [1, 3, 2], 3.17.al_cp_alu 
(-11, 67, -289), [1, 3, 3], 3.17.al_cp_ald 
(-11, 69, -323), [1, 1, 1], 3.17.al_cr_aml 
(-11, 69, -306), [1, 1, 2], 3.17.al_cr_alu 
(-11, 70, -340), [1, 2, 0], 3.17.al_cs_anc 
(-11, 71, -340), [1, 3, 0], 3.17.al_ct_anc 
(-11, 71, -323), [1, 3, 1], 3.17.al_ct_aml 
(-11, 72, -340), [1, 0, 0], 3.17.al_cu_anc 
(-11, 73, -357), [1, 1, 3], 3.17.al_cv_ant 
(-11, 74, -340), [1, 2, 0], 3.17.al_cw_anc 
(-11, 75, -357), [1, 3, 3], 3.17.al_cx_ant 
(-11, 77, -391), [1, 1, 1], 3.17.al_cz_apb 
(-11, 77, -357), [1, 1, 3], 3.17.al_cz_ant 
(-11, 79, -391), [1, 3, 1], 3.17.al_db_apb 
(-11, 81, -391), [1, 1, 1], 3.17.al_dd_apb 
(-11, 83, -391), [1, 3, 1], 3.17.al_df_apb 
(-11, 87, -408), [1, 3, 0], 3.17.al_dj_aps 
(-10, 31, -51), [2, 3, 1], 3.17.ak_bf_abz 
(-10, 35, -85), [2, 3, 3], 3.17.ak_bj_adh 
(-10, 37, -102), [2, 1, 2], 3.17.ak_bl_ady 
(-10, 39, -119), [2, 3, 1], 3.17.ak_bn_aep 
(-10, 42, -136), [2, 2, 0], 3.17.ak_bq_afg 
(-10, 43, -153), [2, 3, 3], 3.17.ak_br_afx 
(-10, 45, -170), [2, 1, 2], 3.17.ak_bt_ago 
(-10, 45, -153), [2, 1, 3], 3.17.ak_bt_afx 
(-10, 46, -170), [2, 2, 2], 3.17.ak_bu_ago 
(-10, 47, -187), [2, 3, 1], 3.17.ak_bv_ahf 
(-10, 47, -170), [2, 3, 2], 3.17.ak_bv_ago 
(-10, 49, -204), [2, 1, 0], 3.17.ak_bx_ahw 
(-10, 49, -187), [2, 1, 1], 3.17.ak_bx_ahf 
(-10, 52, -204), [2, 0, 0], 3.17.ak_ca_ahw 
(-10, 53, -221), [2, 1, 3], 3.17.ak_cb_ain 
(-10, 54, -238), [2, 2, 2], 3.17.ak_cc_aje 
(-10, 55, -238), [2, 3, 2], 3.17.ak_cd_aje 
(-10, 56, -238), [2, 0, 2], 3.17.ak_ce_aje 
(-10, 57, -255), [2, 1, 1], 3.17.ak_cf_ajv 
(-10, 57, -238), [2, 1, 2], 3.17.ak_cf_aje 
