(-15, 109, -527), [2, 7, 0], 3.17.ap_ef_auh 
(-15, 111, -544), [2, 9, 0], 3.17.ap_eh_auy 
(-15, 113, -561), [2, 11, 0], 3.17.ap_ej_avp 
(-14, 95, -442), [3, 10, 0], 3.17.ao_dr_ara 
(-14, 97, -459), [3, 12, 0], 3.17.ao_dt_arr 
(-14, 101, -493), [3, 16, 0], 3.17.ao_dx_asz 
(-14, 103, -510), [3, 1, 0], 3.17.ao_dz_atq 
(-14, 104, -510), [3, 2, 0], 3.17.ao_ea_atq 
(-14, 105, -527), [3, 3, 0], 3.17.ao_eb_auh 
(-14, 107, -527), [3, 5, 0], 3.17.ao_ed_auh 
(-14, 110, -544), [3, 8, 0], 3.17.ao_eg_auy 
(-13, 83, -374), [4, 15, 0], 3.17.an_df_aok 
(-13, 87, -408), [4, 2, 0], 3.17.an_dj_aps 
(-13, 88, -408), [4, 3, 0], 3.17.an_dk_aps 
(-13, 89, -425), [4, 4, 0], 3.17.an_dl_aqj 
(-13, 93, -459), [4, 8, 0], 3.17.an_dp_arr 
(-13, 95, -476), [4, 10, 0], 3.17.an_dr_asi 
(-13, 95, -459), [4, 10, 0], 3.17.an_dr_arr 
(-13, 96, -476), [4, 11, 0], 3.17.an_ds_asi 
(-13, 98, -476), [4, 13, 0], 3.17.an_du_asi 
(-13, 99, -493), [4, 14, 0], 3.17.an_dv_asz 
(-13, 101, -493), [4, 16, 0], 3.17.an_dx_asz 
(-12, 62, -238), [5, 11, 0], 3.17.am_ck_aje 
(-12, 71, -306), [5, 3, 0], 3.17.am_ct_alu 
(-12, 73, -323), [5, 5, 0], 3.17.am_cv_aml 
(-12, 74, -340), [5, 6, 0], 3.17.am_cw_anc 
(-12, 75, -340), [5, 7, 0], 3.17.am_cx_anc 
(-12, 76, -340), [5, 8, 0], 3.17.am_cy_anc 
(-12, 77, -357), [5, 9, 0], 3.17.am_cz_ant 
(-12, 78, -374), [5, 10, 0], 3.17.am_da_aok 
(-12, 79, -374), [5, 11, 0], 3.17.am_db_aok 
(-12, 80, -374), [5, 12, 0], 3.17.am_dc_aok 
(-12, 81, -391), [5, 13, 0], 3.17.am_dd_apb 
(-12, 81, -374), [5, 13, 0], 3.17.am_dd_aok 
(-12, 83, -391), [5, 15, 0], 3.17.am_df_apb 
(-12, 87, -425), [5, 2, 0], 3.17.am_dj_aqj 
(-12, 89, -442), [5, 4, 0], 3.17.am_dl_ara 
(-12, 89, -425), [5, 4, 0], 3.17.am_dl_aqj 
(-12, 90, -442), [5, 5, 0], 3.17.am_dm_ara 
(-12, 91, -442), [5, 6, 0], 3.17.am_dn_ara 
(-12, 92, -442), [5, 7, 0], 3.17.am_do_ara 
(-11, 43, -119), [6, 9, 0], 3.17.al_br_aep 
(-11, 49, -170), [6, 15, 0], 3.17.al_bx_ago 
(-11, 50, -170), [6, 16, 0], 3.17.al_by_ago 
(-11, 54, -204), [6, 3, 0], 3.17.al_cc_ahw 
(-11, 57, -221), [6, 6, 0], 3.17.al_cf_ain 
(-11, 59, -238), [6, 8, 0], 3.17.al_ch_aje 
(-11, 61, -255), [6, 10, 0], 3.17.al_cj_ajv 
(-11, 62, -272), [6, 11, 0], 3.17.al_ck_akm 
(-11, 63, -272), [6, 12, 0], 3.17.al_cl_akm 
(-11, 65, -289), [6, 14, 0], 3.17.al_cn_ald 
(-11, 66, -306), [6, 15, 0], 3.17.al_co_alu 
(-11, 67, -306), [6, 16, 0], 3.17.al_cp_alu 
(-11, 67, -289), [6, 16, 0], 3.17.al_cp_ald 
(-11, 69, -323), [6, 1, 0], 3.17.al_cr_aml 
(-11, 69, -306), [6, 1, 0], 3.17.al_cr_alu 
(-11, 70, -340), [6, 2, 0], 3.17.al_cs_anc 
(-11, 71, -340), [6, 3, 0], 3.17.al_ct_anc 
(-11, 71, -323), [6, 3, 0], 3.17.al_ct_aml 
(-11, 72, -340), [6, 4, 0], 3.17.al_cu_anc 
(-11, 73, -357), [6, 5, 0], 3.17.al_cv_ant 
(-11, 74, -340), [6, 6, 0], 3.17.al_cw_anc 
(-11, 75, -357), [6, 7, 0], 3.17.al_cx_ant 
(-11, 77, -391), [6, 9, 0], 3.17.al_cz_apb 
(-11, 77, -357), [6, 9, 0], 3.17.al_cz_ant 
(-11, 79, -391), [6, 11, 0], 3.17.al_db_apb 
(-11, 81, -391), [6, 13, 0], 3.17.al_dd_apb 
(-11, 83, -391), [6, 15, 0], 3.17.al_df_apb 
(-11, 87, -408), [6, 2, 0], 3.17.al_dj_aps 
(-10, 31, -51), [7, 14, 0], 3.17.ak_bf_abz 
(-10, 35, -85), [7, 1, 0], 3.17.ak_bj_adh 
(-10, 37, -102), [7, 3, 0], 3.17.ak_bl_ady 
(-10, 39, -119), [7, 5, 0], 3.17.ak_bn_aep 
(-10, 42, -136), [7, 8, 0], 3.17.ak_bq_afg 
(-10, 43, -153), [7, 9, 0], 3.17.ak_br_afx 
(-10, 45, -170), [7, 11, 0], 3.17.ak_bt_ago 
(-10, 45, -153), [7, 11, 0], 3.17.ak_bt_afx 
(-10, 46, -170), [7, 12, 0], 3.17.ak_bu_ago 
(-10, 47, -187), [7, 13, 0], 3.17.ak_bv_ahf 
(-10, 47, -170), [7, 13, 0], 3.17.ak_bv_ago 
(-10, 49, -204), [7, 15, 0], 3.17.ak_bx_ahw 
(-10, 49, -187), [7, 15, 0], 3.17.ak_bx_ahf 
(-10, 52, -204), [7, 1, 0], 3.17.ak_ca_ahw 
(-10, 53, -221), [7, 2, 0], 3.17.ak_cb_ain 
(-10, 54, -238), [7, 3, 0], 3.17.ak_cc_aje 
(-10, 55, -238), [7, 4, 0], 3.17.ak_cd_aje 
(-10, 56, -238), [7, 5, 0], 3.17.ak_ce_aje 
(-10, 57, -255), [7, 6, 0], 3.17.ak_cf_ajv 
(-10, 57, -238), [7, 6, 0], 3.17.ak_cf_aje 
(-10, 59, -272), [7, 8, 0], 3.17.ak_ch_akm 
(-10, 60, -272), [7, 9, 0], 3.17.ak_ci_akm 
(-10, 61, -289), [7, 10, 0], 3.17.ak_cj_ald 
(-10, 62, -306), [7, 11, 0], 3.17.ak_ck_alu 
(-10, 62, -272), [7, 11, 0], 3.17.ak_ck_akm 
(-10, 63, -306), [7, 12, 0], 3.17.ak_cl_alu 
(-10, 63, -289), [7, 12, 0], 3.17.ak_cl_ald 
(-10, 63, -272), [7, 12, 0], 3.17.ak_cl_akm 
(-10, 64, -306), [7, 13, 0], 3.17.ak_cm_alu 
(-10, 65, -323), [7, 14, 0], 3.17.ak_cn_aml 
(-10, 65, -306), [7, 14, 0], 3.17.ak_cn_alu 
(-10, 65, -289), [7, 14, 0], 3.17.ak_cn_ald 
(-10, 66, -306), [7, 15, 0], 3.17.ak_co_alu 
(-10, 67, -323), [7, 16, 0], 3.17.ak_cp_aml 
(-10, 67, -306), [7, 16, 0], 3.17.ak_cp_alu 
(-10, 69, -323), [7, 1, 0], 3.17.ak_cr_aml 
(-10, 69, -306), [7, 1, 0], 3.17.ak_cr_alu 
(-10, 71, -323), [7, 3, 0], 3.17.ak_ct_aml 
(-9, 12, 68), [8, 12, 0], 3.17.aj_m_cq 
(-9, 16, 34), [8, 16, 0], 3.17.aj_q_bi 
(-9, 19, 17), [8, 2, 0], 3.17.aj_t_r 
(-9, 21, 0), [8, 4, 0], 3.17.aj_v_a 
(-9, 23, -17), [8, 6, 0], 3.17.aj_x_ar 
(-9, 26, -34), [8, 9, 0], 3.17.aj_ba_abi 
(-9, 27, -51), [8, 10, 0], 3.17.aj_bb_abz 
(-9, 29, -68), [8, 12, 0], 3.17.aj_bd_acq 
(-9, 30, -68), [8, 13, 0], 3.17.aj_be_acq 
(-9, 31, -85), [8, 14, 0], 3.17.aj_bf_adh 
(-9, 33, -102), [8, 16, 0], 3.17.aj_bh_ady 
(-9, 33, -85), [8, 16, 0], 3.17.aj_bh_adh 
(-9, 35, -119), [8, 1, 0], 3.17.aj_bj_aep 
(-9, 37, -119), [8, 3, 0], 3.17.aj_bl_aep 
(-9, 38, -136), [8, 4, 0], 3.17.aj_bm_afg 
(-9, 39, -153), [8, 5, 0], 3.17.aj_bn_afx 
(-9, 39, -136), [8, 5, 0], 3.17.aj_bn_afg 
(-9, 40, -136), [8, 6, 0], 3.17.aj_bo_afg 
(-9, 41, -170), [8, 7, 0], 3.17.aj_bp_ago 
(-9, 41, -153), [8, 7, 0], 3.17.aj_bp_afx 
(-9, 41, -136), [8, 7, 0], 3.17.aj_bp_afg 
(-9, 43, -187), [8, 9, 0], 3.17.aj_br_ahf 
(-9, 43, -170), [8, 9, 0], 3.17.aj_br_ago 
(-9, 43, -153), [8, 9, 0], 3.17.aj_br_afx 
(-9, 44, -170), [8, 10, 0], 3.17.aj_bs_ago 
(-9, 45, -204), [8, 11, 0], 3.17.aj_bt_ahw 
(-9, 45, -187), [8, 11, 0], 3.17.aj_bt_ahf 
(-9, 45, -170), [8, 11, 0], 3.17.aj_bt_ago 
(-9, 46, -204), [8, 12, 0], 3.17.aj_bu_ahw 
(-9, 46, -170), [8, 12, 0], 3.17.aj_bu_ago 
(-9, 47, -221), [8, 13, 0], 3.17.aj_bv_ain 
(-9, 47, -204), [8, 13, 0], 3.17.aj_bv_ahw 
(-9, 47, -187), [8, 13, 0], 3.17.aj_bv_ahf 
(-9, 48, -204), [8, 14, 0], 3.17.aj_bw_ahw 
(-9, 49, -238), [8, 15, 0], 3.17.aj_bx_aje 
(-9, 49, -221), [8, 15, 0], 3.17.aj_bx_ain 
(-9, 49, -187), [8, 15, 0], 3.17.aj_bx_ahf 
(-9, 50, -238), [8, 16, 0], 3.17.aj_by_aje 
(-9, 50, -204), [8, 16, 0], 3.17.aj_by_ahw 
(-9, 52, -238), [8, 1, 0], 3.17.aj_ca_aje 
(-9, 53, -255), [8, 2, 0], 3.17.aj_cb_ajv 
(-9, 53, -238), [8, 2, 0], 3.17.aj_cb_aje 
(-9, 53, -221), [8, 2, 0], 3.17.aj_cb_ain 
(-9, 54, -272), [8, 3, 0], 3.17.aj_cc_akm 
(-9, 55, -272), [8, 4, 0], 3.17.aj_cd_akm 
(-9, 55, -255), [8, 4, 0], 3.17.aj_cd_ajv 
(-9, 55, -238), [8, 4, 0], 3.17.aj_cd_aje 
(-9, 56, -272), [8, 5, 0], 3.17.aj_ce_akm 
(-9, 56, -238), [8, 5, 0], 3.17.aj_ce_aje 
(-9, 57, -289), [8, 6, 0], 3.17.aj_cf_ald 
(-9, 57, -272), [8, 6, 0], 3.17.aj_cf_akm 
(-9, 57, -255), [8, 6, 0], 3.17.aj_cf_ajv 
(-9, 57, -238), [8, 6, 0], 3.17.aj_cf_aje 
(-9, 58, -272), [8, 7, 0], 3.17.aj_cg_akm 
(-9, 59, -289), [8, 8, 0], 3.17.aj_ch_ald 
(-9, 59, -272), [8, 8, 0], 3.17.aj_ch_akm 
(-9, 59, -255), [8, 8, 0], 3.17.aj_ch_ajv 
(-9, 60, -272), [8, 9, 0], 3.17.aj_ci_akm 
(-9, 61, -289), [8, 10, 0], 3.17.aj_cj_ald 
(-9, 61, -272), [8, 10, 0], 3.17.aj_cj_akm 
(-9, 62, -272), [8, 11, 0], 3.17.aj_ck_akm 
(-9, 63, -289), [8, 12, 0], 3.17.aj_cl_ald 
(-9, 63, -272), [8, 12, 0], 3.17.aj_cl_akm 
(-9, 64, -272), [8, 13, 0], 3.17.aj_cm_akm 
(-9, 65, -289), [8, 14, 0], 3.17.aj_cn_ald 
(-9, 67, -289), [8, 16, 0], 3.17.aj_cp_ald 
(-9, 75, -323), [8, 7, 0], 3.17.aj_cx_aml 
(-8, 4, 102), [9, 4, 0], 3.17.ai_e_dy 
(-8, 8, 68), [9, 8, 0], 3.17.ai_i_cq 
(-8, 9, 68), [9, 9, 0], 3.17.ai_j_cq 
(-8, 13, 34), [9, 13, 0], 3.17.ai_n_bi 
(-8, 14, 34), [9, 14, 0], 3.17.ai_o_bi 
(-8, 15, 17), [9, 15, 0], 3.17.ai_p_r 
(-8, 16, 0), [9, 16, 0], 3.17.ai_q_a 
(-8, 18, 0), [9, 1, 0], 3.17.ai_s_a 
(-8, 19, -17), [9, 2, 0], 3.17.ai_t_ar 
(-8, 19, 0), [9, 2, 0], 3.17.ai_t_a 
(-8, 21, -34), [9, 4, 0], 3.17.ai_v_abi 
(-8, 21, -17), [9, 4, 0], 3.17.ai_v_ar 
(-8, 22, -34), [9, 5, 0], 3.17.ai_w_abi 
(-8, 23, -51), [9, 6, 0], 3.17.ai_x_abz 
