(-17, 143, -760), [2, 10, 0], 3.19.ar_fn_abdg 
(-17, 145, -779), [2, 12, 0], 3.19.ar_fp_abdz 
(-16, 123, -627), [3, 9, 0], 3.19.aq_et_ayd 
(-16, 125, -646), [3, 11, 0], 3.19.aq_ev_ayw 
(-16, 130, -684), [3, 16, 0], 3.19.aq_fa_abai 
(-16, 135, -722), [3, 2, 0], 3.19.aq_ff_abbu 
(-15, 101, -475), [4, 6, 0], 3.19.ap_dx_ash 
(-15, 108, -532), [4, 13, 0], 3.19.ap_ee_aum 
(-15, 115, -589), [4, 1, 0], 3.19.ap_el_awr 
(-15, 117, -608), [4, 3, 0], 3.19.ap_en_axk 
(-15, 118, -608), [4, 4, 0], 3.19.ap_eo_axk 
(-15, 119, -627), [4, 5, 0], 3.19.ap_ep_ayd 
(-15, 121, -627), [4, 7, 0], 3.19.ap_er_ayd 
(-15, 122, -646), [4, 8, 0], 3.19.ap_es_ayw 
(-15, 123, -646), [4, 9, 0], 3.19.ap_et_ayw 
(-15, 125, -665), [4, 11, 0], 3.19.ap_ev_azp 
(-14, 93, -437), [5, 17, 0], 3.19.ao_dp_aqv 
(-14, 97, -475), [5, 2, 0], 3.19.ao_dt_ash 
(-14, 99, -494), [5, 4, 0], 3.19.ao_dv_ata 
(-14, 100, -494), [5, 5, 0], 3.19.ao_dw_ata 
(-14, 101, -513), [5, 6, 0], 3.19.ao_dx_att 
(-14, 103, -513), [5, 8, 0], 3.19.ao_dz_att 
(-14, 107, -551), [5, 12, 0], 3.19.ao_ed_avf 
(-14, 109, -570), [5, 14, 0], 3.19.ao_ef_avy 
(-14, 110, -570), [5, 15, 0], 3.19.ao_eg_avy 
(-14, 111, -589), [5, 16, 0], 3.19.ao_eh_awr 
(-14, 111, -570), [5, 16, 0], 3.19.ao_eh_avy 
(-14, 113, -589), [5, 18, 0], 3.19.ao_ej_awr 
(-14, 117, -608), [5, 3, 0], 3.19.ao_en_axk 
(-13, 73, -304), [6, 16, 0], 3.19.an_cv_als 
(-13, 75, -323), [6, 18, 0], 3.19.an_cx_aml 
(-13, 77, -342), [6, 1, 0], 3.19.an_cz_ane 
(-13, 82, -380), [6, 6, 0], 3.19.an_de_aoq 
(-13, 85, -399), [6, 9, 0], 3.19.an_dh_apj 
(-13, 86, -418), [6, 10, 0], 3.19.an_di_aqc 
(-13, 87, -418), [6, 11, 0], 3.19.an_dj_aqc 
(-13, 88, -418), [6, 12, 0], 3.19.an_dk_aqc 
(-13, 89, -437), [6, 13, 0], 3.19.an_dl_aqv 
(-13, 91, -456), [6, 15, 0], 3.19.an_dn_aro 
(-13, 92, -456), [6, 16, 0], 3.19.an_do_aro 
(-13, 93, -475), [6, 17, 0], 3.19.an_dp_ash 
(-13, 93, -456), [6, 17, 0], 3.19.an_dp_aro 
(-13, 97, -513), [6, 2, 0], 3.19.an_dt_att 
(-13, 99, -532), [6, 4, 0], 3.19.an_dv_aum 
(-13, 99, -513), [6, 4, 0], 3.19.an_dv_att 
(-13, 100, -532), [6, 5, 0], 3.19.an_dw_aum 
(-13, 101, -532), [6, 6, 0], 3.19.an_dx_aum 
(-13, 101, -513), [6, 6, 0], 3.19.an_dx_att 
(-13, 102, -532), [6, 7, 0], 3.19.an_dy_aum 
(-13, 103, -532), [6, 8, 0], 3.19.an_dz_aum 
(-13, 104, -532), [6, 9, 0], 3.19.an_ea_aum 
(-12, 53, -171), [7, 15, 0], 3.19.am_cb_agp 
(-12, 60, -228), [7, 3, 0], 3.19.am_ci_aiu 
(-12, 64, -266), [7, 7, 0], 3.19.am_cm_akg 
(-12, 65, -266), [7, 8, 0], 3.19.am_cn_akg 
(-12, 67, -285), [7, 10, 0], 3.19.am_cp_akz 
(-12, 69, -304), [7, 12, 0], 3.19.am_cr_als 
(-12, 71, -323), [7, 14, 0], 3.19.am_ct_aml 
(-12, 73, -342), [7, 16, 0], 3.19.am_cv_ane 
(-12, 75, -361), [7, 18, 0], 3.19.am_cx_anx 
(-12, 75, -342), [7, 18, 0], 3.19.am_cx_ane 
(-12, 77, -380), [7, 1, 0], 3.19.am_cz_aoq 
(-12, 77, -361), [7, 1, 0], 3.19.am_cz_anx 
(-12, 78, -380), [7, 2, 0], 3.19.am_da_aoq 
