(-21, 205, -1219), [2, 21, 0], 3.23.av_hx_abux 
(-20, 193, -1150), [3, 9, 0], 3.23.au_hl_absg 
(-19, 174, -1012), [4, 13, 0], 3.23.at_gs_abmy 
(-19, 177, -1035), [4, 16, 0], 3.23.at_gv_abnv 
(-19, 179, -1058), [4, 18, 0], 3.23.at_gx_abos 
(-19, 181, -1081), [4, 20, 0], 3.23.at_gz_abpp 
(-18, 155, -874), [5, 17, 0], 3.23.as_fz_abhq 
(-18, 157, -897), [5, 19, 0], 3.23.as_gb_abin 
(-18, 160, -920), [5, 22, 0], 3.23.as_ge_abjk 
(-18, 165, -966), [5, 4, 0], 3.23.as_gj_able 
(-18, 167, -989), [5, 6, 0], 3.23.as_gl_abmb 
(-17, 133, -713), [6, 18, 0], 3.23.ar_fd_abbl 
(-17, 143, -805), [6, 5, 0], 3.23.ar_fn_abez 
(-17, 145, -828), [6, 7, 0], 3.23.ar_fp_abfw 
(-17, 146, -828), [6, 8, 0], 3.23.ar_fq_abfw 
(-17, 149, -851), [6, 11, 0], 3.23.ar_ft_abgt 
(-17, 151, -874), [6, 13, 0], 3.23.ar_fv_abhq 
(-17, 152, -874), [6, 14, 0], 3.23.ar_fw_abhq 
(-17, 153, -897), [6, 15, 0], 3.23.ar_fx_abin 
(-17, 155, -897), [6, 17, 0], 3.23.ar_fz_abin 
(-17, 156, -920), [6, 18, 0], 3.23.ar_ga_abjk 
(-16, 119, -621), [7, 4, 0], 3.23.aq_ep_axx 
(-16, 121, -644), [7, 6, 0], 3.23.aq_er_ayu 
(-16, 126, -690), [7, 11, 0], 3.23.aq_ew_abao 
(-16, 127, -690), [7, 12, 0], 3.23.aq_ex_abao 
(-16, 129, -713), [7, 14, 0], 3.23.aq_ez_abbl 
(-16, 133, -759), [7, 18, 0], 3.23.aq_fd_abdf 
(-16, 135, -759), [7, 20, 0], 3.23.aq_ff_abdf 
(-16, 136, -782), [7, 21, 0], 3.23.aq_fg_abec 
(-16, 137, -782), [7, 22, 0], 3.23.aq_fh_abec 
(-16, 139, -805), [7, 1, 0], 3.23.aq_fj_abez 
(-16, 141, -828), [7, 3, 0], 3.23.aq_fl_abfw 
(-16, 141, -805), [7, 3, 0], 3.23.aq_fl_abez 
(-16, 142, -828), [7, 4, 0], 3.23.aq_fm_abfw 
(-16, 144, -828), [7, 6, 0], 3.23.aq_fo_abfw 
(-16, 145, -828), [7, 7, 0], 3.23.aq_fp_abfw 
(-15, 105, -529), [8, 13, 0], 3.23.ap_eb_auj 
(-15, 107, -552), [8, 15, 0], 3.23.ap_ed_avg 
(-15, 108, -552), [8, 16, 0], 3.23.ap_ee_avg 
(-15, 109, -575), [8, 17, 0], 3.23.ap_ef_awd 
(-15, 112, -598), [8, 20, 0], 3.23.ap_ei_axa 
(-15, 113, -598), [8, 21, 0], 3.23.ap_ej_axa 
(-15, 117, -644), [8, 2, 0], 3.23.ap_en_ayu 
(-15, 118, -644), [8, 3, 0], 3.23.ap_eo_ayu 
(-15, 119, -667), [8, 4, 0], 3.23.ap_ep_azr 
(-15, 119, -644), [8, 4, 0], 3.23.ap_ep_ayu 
(-15, 121, -667), [8, 6, 0], 3.23.ap_er_azr 
(-15, 125, -713), [8, 10, 0], 3.23.ap_ev_abbl 
(-15, 126, -736), [8, 11, 0], 3.23.ap_ew_abci 
(-15, 127, -736), [8, 12, 0], 3.23.ap_ex_abci 
(-15, 127, -713), [8, 12, 0], 3.23.ap_ex_abbl 
(-15, 128, -736), [8, 13, 0], 3.23.ap_ey_abci 
(-15, 129, -759), [8, 14, 0], 3.23.ap_ez_abdf 
(-15, 130, -736), [8, 15, 0], 3.23.ap_fa_abci 
(-15, 131, -759), [8, 16, 0], 3.23.ap_fb_abdf 
(-15, 131, -736), [8, 16, 0], 3.23.ap_fb_abci 
(-15, 133, -759), [8, 18, 0], 3.23.ap_fd_abdf 
(-15, 137, -782), [8, 22, 0], 3.23.ap_fh_abec 
(-14, 73, -276), [9, 4, 0], 3.23.ao_cv_akq 
(-14, 83, -368), [9, 14, 0], 3.23.ao_df_aoe 
(-14, 85, -391), [9, 16, 0], 3.23.ao_dh_apb 
(-14, 88, -414), [9, 19, 0], 3.23.ao_dk_apy 
(-14, 93, -460), [9, 1, 0], 3.23.ao_dp_ars 
(-14, 97, -506), [9, 5, 0], 3.23.ao_dt_atm 
(-14, 98, -506), [9, 6, 0], 3.23.ao_du_atm 
(-14, 99, -506), [9, 7, 0], 3.23.ao_dv_atm 
(-14, 101, -529), [9, 9, 0], 3.23.ao_dx_auj 
(-14, 102, -552), [9, 10, 0], 3.23.ao_dy_avg 
(-14, 103, -552), [9, 11, 0], 3.23.ao_dz_avg 
(-14, 104, -552), [9, 12, 0], 3.23.ao_ea_avg 
(-14, 105, -575), [9, 13, 0], 3.23.ao_eb_awd 
(-14, 105, -552), [9, 13, 0], 3.23.ao_eb_avg 
(-14, 107, -598), [9, 15, 0], 3.23.ao_ed_axa 
(-14, 107, -575), [9, 15, 0], 3.23.ao_ed_awd 
(-14, 108, -598), [9, 16, 0], 3.23.ao_ee_axa 
(-14, 109, -621), [9, 17, 0], 3.23.ao_ef_axx 
(-14, 109, -598), [9, 17, 0], 3.23.ao_ef_axa 
(-14, 110, -598), [9, 18, 0], 3.23.ao_eg_axa 
(-14, 111, -621), [9, 19, 0], 3.23.ao_eh_axx 
(-14, 111, -598), [9, 19, 0], 3.23.ao_eh_axa 
(-14, 113, -621), [9, 21, 0], 3.23.ao_ej_axx 
(-14, 117, -690), [9, 2, 0], 3.23.ao_en_abao 
(-14, 117, -667), [9, 2, 0], 3.23.ao_en_azr 
(-14, 118, -690), [9, 3, 0], 3.23.ao_eo_abao 
(-14, 119, -690), [9, 4, 0], 3.23.ao_ep_abao 
(-14, 119, -667), [9, 4, 0], 3.23.ao_ep_azr 
(-14, 120, -690), [9, 5, 0], 3.23.ao_eq_abao 
(-14, 121, -690), [9, 6, 0], 3.23.ao_er_abao 
(-14, 122, -690), [9, 7, 0], 3.23.ao_es_abao 
(-14, 123, -690), [9, 8, 0], 3.23.ao_et_abao 
(-14, 124, -690), [9, 9, 0], 3.23.ao_eu_abao 
(-14, 127, -713), [9, 12, 0], 3.23.ao_ex_abbl 
(-13, 61, -207), [10, 15, 0], 3.23.an_cj_ahz 
(-13, 64, -230), [10, 18, 0], 3.23.an_cm_aiw 
(-13, 71, -299), [10, 2, 0], 3.23.an_ct_aln 
(-13, 73, -322), [10, 4, 0], 3.23.an_cv_amk 
(-13, 74, -322), [10, 5, 0], 3.23.an_cw_amk 
(-13, 77, -345), [10, 8, 0], 3.23.an_cz_anh 
(-13, 78, -368), [10, 9, 0], 3.23.an_da_aoe 
(-13, 79, -368), [10, 10, 0], 3.23.an_db_aoe 
(-13, 80, -368), [10, 11, 0], 3.23.an_dc_aoe 
(-13, 81, -391), [10, 12, 0], 3.23.an_dd_apb 
(-13, 83, -414), [10, 14, 0], 3.23.an_df_apy 
(-13, 83, -391), [10, 14, 0], 3.23.an_df_apb 
(-13, 84, -414), [10, 15, 0], 3.23.an_dg_apy 
(-13, 85, -437), [10, 16, 0], 3.23.an_dh_aqv 
(-13, 85, -414), [10, 16, 0], 3.23.an_dh_apy 
(-13, 87, -437), [10, 18, 0], 3.23.an_dj_aqv 
(-13, 89, -460), [10, 20, 0], 3.23.an_dl_ars 
(-13, 90, -460), [10, 21, 0], 3.23.an_dm_ars 
(-13, 91, -483), [10, 22, 0], 3.23.an_dn_asp 
(-13, 91, -460), [10, 22, 0], 3.23.an_dn_ars 
(-13, 93, -506), [10, 1, 0], 3.23.an_dp_atm 
(-13, 93, -483), [10, 1, 0], 3.23.an_dp_asp 
(-13, 94, -506), [10, 2, 0], 3.23.an_dq_atm 
(-13, 95, -529), [10, 3, 0], 3.23.an_dr_auj 
(-13, 95, -506), [10, 3, 0], 3.23.an_dr_atm 
(-13, 96, -506), [10, 4, 0], 3.23.an_ds_atm 
(-13, 97, -552), [10, 5, 0], 3.23.an_dt_avg 
(-13, 97, -529), [10, 5, 0], 3.23.an_dt_auj 
(-13, 97, -506), [10, 5, 0], 3.23.an_dt_atm 
(-13, 98, -552), [10, 6, 0], 3.23.an_du_avg 
(-13, 98, -506), [10, 6, 0], 3.23.an_du_atm 
(-13, 99, -552), [10, 7, 0], 3.23.an_dv_avg 
(-13, 99, -529), [10, 7, 0], 3.23.an_dv_auj 
(-13, 100, -552), [10, 8, 0], 3.23.an_dw_avg 
(-13, 101, -575), [10, 9, 0], 3.23.an_dx_awd 
(-13, 101, -529), [10, 9, 0], 3.23.an_dx_auj 
(-13, 102, -552), [10, 10, 0], 3.23.an_dy_avg 
(-13, 103, -575), [10, 11, 0], 3.23.an_dz_awd 
(-13, 103, -552), [10, 11, 0], 3.23.an_dz_avg 
(-13, 104, -552), [10, 12, 0], 3.23.an_ea_avg 
(-13, 105, -621), [10, 13, 0], 3.23.an_eb_axx 
(-13, 105, -575), [10, 13, 0], 3.23.an_eb_awd 
(-13, 107, -621), [10, 15, 0], 3.23.an_ed_axx 
