(-20, 191, -1155), [5, 16, 20], 3.25.au_hj_absl 
(-20, 203, -1260), [5, 3, 15], 3.25.au_hv_abwm 
(-19, 171, -1005), [6, 21, 20], 3.25.at_gp_abmr 
(-19, 177, -1065), [6, 2, 10], 3.25.at_gv_aboz 
(-19, 181, -1095), [6, 6, 5], 3.25.at_gz_abqd 
(-19, 183, -1120), [6, 8, 5], 3.25.at_hb_abrc 
(-19, 186, -1140), [6, 11, 10], 3.25.at_he_abrw 
(-19, 187, -1155), [6, 12, 20], 3.25.at_hf_absl 
(-18, 161, -955), [7, 11, 20], 3.25.as_gf_abkt 
(-18, 162, -960), [7, 12, 15], 3.25.as_gg_abky 
(-18, 167, -1015), [7, 17, 10], 3.25.as_gl_abnb 
(-18, 167, -1010), [7, 17, 15], 3.25.as_gl_abmw 
(-18, 168, -1020), [7, 18, 5], 3.25.as_gm_abng 
(-18, 168, -1010), [7, 18, 15], 3.25.as_gm_abmw 
(-18, 169, -1030), [7, 19, 20], 3.25.as_gn_abnq 
(-18, 171, -1030), [7, 21, 20], 3.25.as_gp_abnq 
(-18, 173, -1060), [7, 23, 15], 3.25.as_gr_abou 
(-18, 176, -1070), [7, 1, 5], 3.25.as_gu_abpe 
(-17, 137, -765), [8, 12, 10], 3.25.ar_fh_abdl 
(-17, 138, -770), [8, 13, 5], 3.25.ar_fi_abdq 
(-17, 139, -785), [8, 14, 15], 3.25.ar_fj_abef 
(-17, 141, -805), [8, 16, 20], 3.25.ar_fl_abez 
(-17, 143, -815), [8, 18, 10], 3.25.ar_fn_abfj 
(-17, 144, -830), [8, 19, 20], 3.25.ar_fo_abfy 
(-17, 147, -865), [8, 22, 10], 3.25.ar_fr_abhh 
(-17, 147, -860), [8, 22, 15], 3.25.ar_fr_abhc 
(-17, 147, -855), [8, 22, 20], 3.25.ar_fr_abgx 
(-17, 148, -860), [8, 23, 15], 3.25.ar_fs_abhc 
(-17, 149, -870), [8, 24, 5], 3.25.ar_ft_abhm 
(-17, 149, -865), [8, 24, 10], 3.25.ar_ft_abhh 
(-17, 151, -905), [8, 1, 20], 3.25.ar_fv_abiv 
(-17, 151, -885), [8, 1, 15], 3.25.ar_fv_abib 
(-17, 153, -920), [8, 3, 5], 3.25.ar_fx_abjk 
(-17, 153, -915), [8, 3, 10], 3.25.ar_fx_abjf 
(-17, 153, -910), [8, 3, 15], 3.25.ar_fx_abja 
(-17, 154, -920), [8, 4, 5], 3.25.ar_fy_abjk 
(-17, 156, -930), [8, 6, 20], 3.25.ar_ga_abju 
(-17, 157, -965), [8, 7, 10], 3.25.ar_gb_abld 
(-17, 157, -945), [8, 7, 5], 3.25.ar_gb_abkj 
(-17, 157, -935), [8, 7, 15], 3.25.ar_gb_abjz 
(-17, 158, -940), [8, 8, 10], 3.25.ar_gc_abke 
(-17, 159, -960), [8, 9, 15], 3.25.ar_gd_abky 
(-17, 159, -955), [8, 9, 20], 3.25.ar_gd_abkt 
(-17, 161, -985), [8, 11, 15], 3.25.ar_gf_ablx 
(-17, 161, -965), [8, 11, 10], 3.25.ar_gf_abld 
(-17, 162, -980), [8, 12, 20], 3.25.ar_gg_abls 
(-17, 163, -985), [8, 13, 15], 3.25.ar_gh_ablx 
(-16, 119, -630), [9, 19, 20], 3.25.aq_ep_ayg 
(-16, 122, -660), [9, 22, 15], 3.25.aq_es_azk 
(-16, 127, -715), [9, 2, 10], 3.25.aq_ex_abbn 
(-16, 127, -710), [9, 2, 15], 3.25.aq_ex_abbi 
(-16, 128, -720), [9, 3, 5], 3.25.aq_ey_abbs 
(-16, 129, -735), [9, 4, 15], 3.25.aq_ez_abch 
(-16, 129, -730), [9, 4, 20], 3.25.aq_ez_abcc 
(-16, 131, -755), [9, 6, 20], 3.25.aq_fb_abdb 
(-16, 131, -745), [9, 6, 5], 3.25.aq_fb_abcr 
(-16, 131, -740), [9, 6, 10], 3.25.aq_fb_abcm 
(-16, 132, -760), [9, 7, 15], 3.25.aq_fc_abdg 
(-16, 133, -770), [9, 8, 5], 3.25.aq_fd_abdq 
(-16, 133, -760), [9, 8, 15], 3.25.aq_fd_abdg 
(-16, 134, -770), [9, 9, 5], 3.25.aq_fe_abdq 
(-16, 136, -790), [9, 11, 10], 3.25.aq_fg_abek 
(-16, 136, -780), [9, 11, 20], 3.25.aq_fg_abea 
(-16, 137, -810), [9, 12, 15], 3.25.aq_fh_abfe 
(-16, 137, -790), [9, 12, 10], 3.25.aq_fh_abek 
(-16, 137, -785), [9, 12, 15], 3.25.aq_fh_abef 
(-16, 138, -810), [9, 13, 15], 3.25.aq_fi_abfe 
(-16, 139, -835), [9, 14, 15], 3.25.aq_fj_abgd 
(-16, 139, -830), [9, 14, 20], 3.25.aq_fj_abfy 
(-16, 139, -820), [9, 14, 5], 3.25.aq_fj_abfo 
(-16, 139, -805), [9, 14, 20], 3.25.aq_fj_abez 
(-16, 141, -845), [9, 16, 5], 3.25.aq_fl_abgn 
