(-4, 7, -10), [0, 3, 2], 3.4.ae_h_ak 
(-4, 9, -16), [0, 1, 0], 3.4.ae_j_aq 
(-4, 11, -24), [0, 3, 0], 3.4.ae_l_ay 
(-4, 13, -28), [0, 1, 0], 3.4.ae_n_abc 
(-2, -3, 16), [2, 1, 0], 3.4.ac_ad_q 
(-2, -1, 6), [2, 3, 2], 3.4.ac_ab_g 
(-2, 1, 0), [2, 1, 0], 3.4.ac_b_a 
(-2, 1, 4), [2, 1, 0], 3.4.ac_b_e 
(-2, 3, -10), [2, 3, 2], 3.4.ac_d_ak 
(-2, 3, -8), [2, 3, 0], 3.4.ac_d_ai 
(-2, 3, -4), [2, 3, 0], 3.4.ac_d_ae 
(-2, 3, -2), [2, 3, 2], 3.4.ac_d_ac 
(-2, 5, -18), [2, 1, 2], 3.4.ac_f_as 
(-2, 5, -10), [2, 1, 2], 3.4.ac_f_ak 
(-2, 5, -6), [2, 1, 2], 3.4.ac_f_ag 
(-2, 7, -14), [2, 3, 2], 3.4.ac_h_ao 
(-2, 7, -12), [2, 3, 0], 3.4.ac_h_am 
(-2, 7, -8), [2, 3, 0], 3.4.ac_h_ai 
(-2, 9, -14), [2, 1, 2], 3.4.ac_j_ao 
(0, -3, -2), [0, 1, 2], 3.4.a_ad_ac 
(0, -3, 2), [0, 1, 2], 3.4.a_ad_c 
(0, -1, -10), [0, 3, 2], 3.4.a_ab_ak 
(0, -1, -8), [0, 3, 0], 3.4.a_ab_ai 
(0, -1, -6), [0, 3, 2], 3.4.a_ab_ag 
(0, -1, -4), [0, 3, 0], 3.4.a_ab_ae 
(0, -1, -2), [0, 3, 2], 3.4.a_ab_ac 
(0, -1, 2), [0, 3, 2], 3.4.a_ab_c 
(0, -1, 4), [0, 3, 0], 3.4.a_ab_e 
(0, -1, 6), [0, 3, 2], 3.4.a_ab_g 
(0, -1, 8), [0, 3, 0], 3.4.a_ab_i 
(0, -1, 10), [0, 3, 2], 3.4.a_ab_k 
(0, 1, -12), [0, 1, 0], 3.4.a_b_am 
(0, 1, -4), [0, 1, 0], 3.4.a_b_ae 
(0, 1, -2), [0, 1, 2], 3.4.a_b_ac 
(0, 1, 2), [0, 1, 2], 3.4.a_b_c 
(0, 1, 4), [0, 1, 0], 3.4.a_b_e 
(0, 1, 12), [0, 1, 0], 3.4.a_b_m 
(0, 3, -6), [0, 3, 2], 3.4.a_d_ag 
(0, 3, -2), [0, 3, 2], 3.4.a_d_ac 
(0, 3, 2), [0, 3, 2], 3.4.a_d_c 
(0, 3, 6), [0, 3, 2], 3.4.a_d_g 
(0, 5, -2), [0, 1, 2], 3.4.a_f_ac 
(0, 5, 2), [0, 1, 2], 3.4.a_f_c 
(2, -3, -16), [2, 1, 0], 3.4.c_ad_aq 
(2, -1, -6), [2, 3, 2], 3.4.c_ab_ag 
(2, 1, -4), [2, 1, 0], 3.4.c_b_ae 
(2, 1, 0), [2, 1, 0], 3.4.c_b_a 
(2, 3, 2), [2, 3, 2], 3.4.c_d_c 
(2, 3, 4), [2, 3, 0], 3.4.c_d_e 
(2, 3, 8), [2, 3, 0], 3.4.c_d_i 
(2, 3, 10), [2, 3, 2], 3.4.c_d_k 
(2, 5, 6), [2, 1, 2], 3.4.c_f_g 
(2, 5, 10), [2, 1, 2], 3.4.c_f_k 
(2, 5, 18), [2, 1, 2], 3.4.c_f_s 
(2, 7, 8), [2, 3, 0], 3.4.c_h_i 
(2, 7, 12), [2, 3, 0], 3.4.c_h_m 
(2, 7, 14), [2, 3, 2], 3.4.c_h_o 
(2, 9, 14), [2, 1, 2], 3.4.c_j_o 
(4, 7, 10), [0, 3, 2], 3.4.e_h_k 
(4, 9, 16), [0, 1, 0], 3.4.e_j_q 
(4, 11, 24), [0, 3, 0], 3.4.e_l_y 
(4, 13, 28), [0, 1, 0], 3.4.e_n_bc 
