(-6, 21, -55), [2, 1, 1], 3.5.ag_v_acd 
(-5, 13, -30), [3, 1, 2], 3.5.af_n_abe 
(-5, 13, -25), [3, 1, 3], 3.5.af_n_az 
(-5, 17, -40), [3, 1, 0], 3.5.af_r_abo 
(-5, 19, -45), [3, 3, 3], 3.5.af_t_abt 
(-4, 7, -10), [0, 3, 2], 3.5.ae_h_ak 
(-4, 9, -15), [0, 1, 1], 3.5.ae_j_ap 
(-4, 11, -30), [0, 3, 2], 3.5.ae_l_abe 
(-4, 11, -25), [0, 3, 3], 3.5.ae_l_az 
(-4, 11, -20), [0, 3, 0], 3.5.ae_l_au 
(-4, 12, -30), [0, 0, 2], 3.5.ae_m_abe 
(-4, 13, -30), [0, 1, 2], 3.5.ae_n_abe 
(-3, -2, 20), [1, 2, 0], 3.5.ad_ac_u 
(-3, 1, 5), [1, 1, 1], 3.5.ad_b_f 
(-3, 3, -5), [1, 3, 3], 3.5.ad_d_af 
(-3, 3, 0), [1, 3, 0], 3.5.ad_d_a 
(-3, 3, 5), [1, 3, 1], 3.5.ad_d_f 
(-3, 4, -10), [1, 0, 2], 3.5.ad_e_ak 
(-3, 4, 0), [1, 0, 0], 3.5.ad_e_a 
(-3, 7, -15), [1, 3, 1], 3.5.ad_h_ap 
(-3, 8, -20), [1, 0, 0], 3.5.ad_i_au 
(-3, 8, -10), [1, 0, 2], 3.5.ad_i_ak 
(-3, 9, -25), [1, 1, 3], 3.5.ad_j_az 
(-3, 9, -20), [1, 1, 0], 3.5.ad_j_au 
(-3, 9, -15), [1, 1, 1], 3.5.ad_j_ap 
(-3, 11, -25), [1, 3, 3], 3.5.ad_l_az 
(-3, 11, -20), [1, 3, 0], 3.5.ad_l_au 
(-3, 13, -25), [1, 1, 3], 3.5.ad_n_az 
(-2, -3, 15), [2, 1, 3], 3.5.ac_ad_p 
(-2, -2, 10), [2, 2, 2], 3.5.ac_ac_k 
(-2, -2, 20), [2, 2, 0], 3.5.ac_ac_u 
(-2, -1, 10), [2, 3, 2], 3.5.ac_ab_k 
(-2, -1, 15), [2, 3, 3], 3.5.ac_ab_p 
(-2, 1, 0), [2, 1, 0], 3.5.ac_b_a 
(-2, 1, 5), [2, 1, 1], 3.5.ac_b_f 
(-2, 1, 10), [2, 1, 2], 3.5.ac_b_k 
(-2, 2, -10), [2, 2, 2], 3.5.ac_c_ak 
(-2, 3, -10), [2, 3, 2], 3.5.ac_d_ak 
(-2, 3, -5), [2, 3, 3], 3.5.ac_d_af 
(-2, 3, 0), [2, 3, 0], 3.5.ac_d_a 
(-2, 4, -10), [2, 0, 2], 3.5.ac_e_ak 
(-2, 4, 0), [2, 0, 0], 3.5.ac_e_a 
(-2, 7, -15), [2, 3, 1], 3.5.ac_h_ap 
(-2, 7, -10), [2, 3, 2], 3.5.ac_h_ak 
(-2, 8, -10), [2, 0, 2], 3.5.ac_i_ak 
(-2, 9, -15), [2, 1, 1], 3.5.ac_j_ap 
(-2, 9, -10), [2, 1, 2], 3.5.ac_j_ak 
(-1, -4, 10), [3, 0, 2], 3.5.ab_ae_k 
(-1, -3, 5), [3, 1, 1], 3.5.ab_ad_f 
(-1, -3, 10), [3, 1, 2], 3.5.ab_ad_k 
(-1, -3, 15), [3, 1, 3], 3.5.ab_ad_p 
(-1, -2, 0), [3, 2, 0], 3.5.ab_ac_a 
(-1, -1, -5), [3, 3, 3], 3.5.ab_ab_af 
(-1, -1, 0), [3, 3, 0], 3.5.ab_ab_a 
(-1, -1, 5), [3, 3, 1], 3.5.ab_ab_f 
(-1, -1, 10), [3, 3, 2], 3.5.ab_ab_k 
(-1, 1, -15), [3, 1, 1], 3.5.ab_b_ap 
(-1, 1, -5), [3, 1, 3], 3.5.ab_b_af 
(-1, 1, 0), [3, 1, 0], 3.5.ab_b_a 
(-1, 1, 5), [3, 1, 1], 3.5.ab_b_f 
(-1, 1, 10), [3, 1, 2], 3.5.ab_b_k 
(-1, 1, 15), [3, 1, 3], 3.5.ab_b_p 
(-1, 2, -20), [3, 2, 0], 3.5.ab_c_au 
(-1, 2, 0), [3, 2, 0], 3.5.ab_c_a 
(-1, 2, 10), [3, 2, 2], 3.5.ab_c_k 
(-1, 3, -15), [3, 3, 1], 3.5.ab_d_ap 
(-1, 3, -5), [3, 3, 3], 3.5.ab_d_af 
(-1, 3, 0), [3, 3, 0], 3.5.ab_d_a 
(-1, 3, 5), [3, 3, 1], 3.5.ab_d_f 
(-1, 4, 0), [3, 0, 0], 3.5.ab_e_a 
(-1, 6, 0), [3, 2, 0], 3.5.ab_g_a 
(-1, 7, -15), [3, 3, 1], 3.5.ab_h_ap 
(-1, 7, -5), [3, 3, 3], 3.5.ab_h_af 
(-1, 7, 0), [3, 3, 0], 3.5.ab_h_a 
(-1, 9, -5), [3, 1, 3], 3.5.ab_j_af 
(0, -2, -10), [0, 2, 2], 3.5.a_ac_ak 
(0, -2, 10), [0, 2, 2], 3.5.a_ac_k 
(0, -1, -10), [0, 3, 2], 3.5.a_ab_ak 
(0, -1, -5), [0, 3, 3], 3.5.a_ab_af 
(0, -1, 5), [0, 3, 1], 3.5.a_ab_f 
(0, -1, 10), [0, 3, 2], 3.5.a_ab_k 
(0, 1, -10), [0, 1, 2], 3.5.a_b_ak 
(0, 1, -5), [0, 1, 3], 3.5.a_b_af 
