(-8, 21, -36), [0, 1, 0], 3.8.ai_v_abk 
(-8, 35, -112), [0, 3, 0], 3.8.ai_bj_aei 
(-8, 37, -124), [0, 1, 0], 3.8.ai_bl_aeu 
(-8, 41, -136), [0, 1, 0], 3.8.ai_bp_afg 
(-6, 11, -8), [2, 3, 0], 3.8.ag_l_ai 
(-6, 17, -44), [2, 1, 0], 3.8.ag_r_abs 
(-6, 17, -40), [2, 1, 0], 3.8.ag_r_abo 
(-6, 19, -52), [2, 3, 0], 3.8.ag_t_aca 
(-6, 19, -48), [2, 3, 0], 3.8.ag_t_abw 
(-6, 21, -68), [2, 1, 0], 3.8.ag_v_acq 
(-6, 21, -64), [2, 1, 0], 3.8.ag_v_acm 
(-6, 23, -76), [2, 3, 0], 3.8.ag_x_acy 
(-6, 23, -72), [2, 3, 0], 3.8.ag_x_acu 
(-6, 23, -68), [2, 3, 0], 3.8.ag_x_acq 
(-6, 23, -64), [2, 3, 0], 3.8.ag_x_acm 
(-6, 25, -84), [2, 1, 0], 3.8.ag_z_adg 
(-6, 25, -80), [2, 1, 0], 3.8.ag_z_adc 
(-6, 27, -92), [2, 3, 0], 3.8.ag_bb_ado 
(-6, 27, -88), [2, 3, 0], 3.8.ag_bb_adk 
(-6, 27, -84), [2, 3, 0], 3.8.ag_bb_adg 
(-6, 29, -92), [2, 1, 0], 3.8.ag_bd_ado 
(-6, 29, -88), [2, 1, 0], 3.8.ag_bd_adk 
(-4, -5, 48), [0, 3, 0], 3.8.ae_af_bw 
(-4, -1, 28), [0, 3, 0], 3.8.ae_ab_bc 
(-4, -1, 32), [0, 3, 0], 3.8.ae_ab_bg 
(-4, 1, 16), [0, 1, 0], 3.8.ae_b_q 
(-4, 1, 24), [0, 1, 0], 3.8.ae_b_y 
(-4, 3, 4), [0, 3, 0], 3.8.ae_d_e 
(-4, 3, 12), [0, 3, 0], 3.8.ae_d_m 
(-4, 5, -8), [0, 1, 0], 3.8.ae_f_ai 
