(-10, 53, -189), [8, 8, 0], 3.9.ak_cb_ahh 
(-9, 47, -165), [0, 2, 6], 3.9.aj_bv_agj 
(-9, 49, -177), [0, 4, 3], 3.9.aj_bx_agv 
(-9, 49, -171), [0, 4, 0], 3.9.aj_bx_agp 
(-8, 31, -90), [1, 4, 0], 3.9.ai_bf_adm 
(-8, 32, -96), [1, 5, 3], 3.9.ai_bg_ads 
(-8, 35, -117), [1, 8, 0], 3.9.ai_bj_aen 
(-8, 35, -114), [1, 8, 3], 3.9.ai_bj_aek 
(-8, 35, -111), [1, 8, 6], 3.9.ai_bj_aeh 
(-8, 37, -126), [1, 1, 0], 3.9.ai_bl_aew 
(-8, 37, -123), [1, 1, 3], 3.9.ai_bl_aet 
(-8, 38, -126), [1, 2, 0], 3.9.ai_bm_aew 
(-8, 41, -138), [1, 5, 6], 3.9.ai_bp_afi 
(-7, 19, -39), [2, 1, 6], 3.9.ah_t_abn 
(-7, 22, -54), [2, 4, 0], 3.9.ah_w_acc 
(-7, 23, -63), [2, 5, 0], 3.9.ah_x_acl 
(-7, 23, -60), [2, 5, 3], 3.9.ah_x_aci 
(-7, 25, -72), [2, 7, 0], 3.9.ah_z_acu 
(-7, 26, -78), [2, 8, 3], 3.9.ah_ba_ada 
(-7, 28, -90), [2, 1, 0], 3.9.ah_bc_adm 
(-7, 29, -99), [2, 2, 0], 3.9.ah_bd_adv 
(-7, 29, -93), [2, 2, 6], 3.9.ah_bd_adp 
(-7, 29, -90), [2, 2, 0], 3.9.ah_bd_adm 
(-7, 31, -111), [2, 4, 6], 3.9.ah_bf_aeh 
(-7, 31, -108), [2, 4, 0], 3.9.ah_bf_aee 
(-7, 31, -99), [2, 4, 0], 3.9.ah_bf_adv 
(-7, 32, -108), [2, 5, 0], 3.9.ah_bg_aee 
(-7, 32, -102), [2, 5, 6], 3.9.ah_bg_ady 
(-7, 35, -117), [2, 8, 0], 3.9.ah_bj_aen 
(-7, 37, -129), [2, 1, 6], 3.9.ah_bl_aez 
(-6, 11, -9), [3, 2, 0], 3.9.ag_l_aj 
(-6, 11, -6), [3, 2, 3], 3.9.ag_l_ag 
(-6, 13, -18), [3, 4, 0], 3.9.ag_n_as 
(-6, 16, -36), [3, 7, 0], 3.9.ag_q_abk 
(-6, 16, -30), [3, 7, 6], 3.9.ag_q_abe 
(-6, 17, -45), [3, 8, 0], 3.9.ag_r_abt 
(-6, 17, -42), [3, 8, 3], 3.9.ag_r_abq 
(-6, 19, -54), [3, 1, 0], 3.9.ag_t_acc 
(-6, 19, -45), [3, 1, 0], 3.9.ag_t_abt 
(-6, 20, -54), [3, 2, 0], 3.9.ag_u_acc 
